,Placebo_A_461K_BV3D21,Placebo_A_466Y_YV3D21,Placebo_A_564P_MV3D21,Placebo_A_661R_BV3D21,Placebo_A_665S_JV3D21
Clostridium_nexile_DSM_1787_gal,0.0026087,0.0027972,0,0.0023922,0.00090856
Clostridium_sp_M62_1_ac,-0.4884,-1.5748,0,-2.2093,-0.50972
Clostridium_sp_M62_1_but,-0.4884,-1.5748,0,-2.2093,-0.50972
Clostridium_sp_M62_1_gal,0.0006004,0.001936,0,0.0027159,0.00062661
Collinsella_aerofaciens_ATCC_25986_ac,-12.7,0,-14.4668,-5.5804,-22.4412
Collinsella_intestinalis_DSM_13280_ac,-6.6036,0,0,0,0
Collinsella_stercoris_DSM_13279_ac,-0.88936,0,0,0,0
Coprococcus_catus_GD_7_ac,-1.7852,-0.9252,0,-2.5445,-1.2896
Coprococcus_catus_GD_7_but,-1.7852,-0.9252,0,-2.5445,-1.2896
Coprococcus_catus_GD_7_ppa,-1.7852,-0.9252,0,-2.5445,-1.2896
Corynebacterium_ureicelerivorans_ac,-2.2057,0,-3.7966,0,0
Corynebacterium_ureicelerivorans_ppa,-2.2057,0,-3.7966,0,0
Dermacoccus_nishinomiyaensis_ac,-69.252,0,-126.14,-23.202,0
Dermacoccus_nishinomiyaensis_ppa,-69.252,0,-126.14,-23.202,0
Dialister_succinatiphilus_YIT_11850_ac,-1.4008,0,0,0,-3.4156
Dialister_succinatiphilus_YIT_11850_ppa,-1.4008,0,0,0,-3.4156
Dorea_formicigenerans_ATCC_27755_ac,-1.9442,-7.0012,-0.48468,-2.4754,-1.7806
Dorea_formicigenerans_ATCC_27755_ppa,-1.9442,-7.0012,-0.48468,-2.4754,-1.7806
Dorea_longicatena_DSM_13814_ac,-0.74664,-1.6944,0,-7.8096,-2.0727
Escherichia_coli_O157_H7_str_Sakai_ac,-1.2306,-0.54136,-1.424,0,-19.4376
Escherichia_coli_O157_H7_str_Sakai_gal,-0.1,-0.1,-0.1,0,-0.1
Escherichia_coli_O157_H7_str_Sakai_ppa,-1.2306,-0.54136,-1.424,0,-19.4376
Escherichia_coli_SE11_ac,-5.1004,-1.1405,-1.8454,-0.49,-111.828
Escherichia_coli_SE11_gal,-0.1,-0.1,-0.1,-0.1,-0.1
Escherichia_coli_SE11_ppa,-5.1004,-1.1405,-1.8454,-0.49,-111.828
Escherichia_coli_UTI89_UPEC_ac,-1.2312,-0.87472,-1.1049,0,-4.7128
Escherichia_coli_UTI89_UPEC_ppa,-1.2312,-0.87472,-1.1049,0,-4.7128
Escherichia_coli_str_K_12_substr_MG1655_ac,-1.9198,-1.6333,-2.8633,-0.4038,-29.3896
Escherichia_coli_str_K_12_substr_MG1655_gal,-0.1,-0.1,-0.1,-0.1,-0.1
Escherichia_coli_str_K_12_substr_MG1655_ppa,-1.9198,-1.6333,-2.8633,-0.4038,-29.3896
Escherichia_sp_1_1_43_ac,-1.9171,-1.6193,-2.2053,0,-29.7708
Escherichia_sp_1_1_43_gal,-0.1,-0.1,-0.1,0,-0.1
Escherichia_sp_3_2_53FAA_ac,-1.2537,-0.86188,-1.0968,0,-5.9932
Escherichia_sp_3_2_53FAA_ppa,-1.2537,-0.86188,-1.0968,0,-5.9932
Escherichia_sp_4_1_40B_ac,-2.0861,-1.5947,-2.9295,-0.40264,-31.6348
Escherichia_sp_4_1_40B_gal,-0.1,-0.1,-0.1,-0.1,-0.1
Escherichia_sp_4_1_40B_ppa,-2.0861,-1.5947,-2.9295,-0.40264,-31.6348
Eubacterium_dolichum_DSM_3991_ac,-0.78888,0,0,0,0
Eubacterium_dolichum_DSM_3991_but,-0.78888,0,0,0,0
Eubacterium_eligens_ATCC_27750_ac,-0.4634,0,0,-1.184,-0.42732
Eubacterium_eligens_ATCC_27750_ppa,-0.4634,0,0,-1.184,-0.42732
Eubacterium_hallii_DSM_3353_ac,-1.5989,-0.917,0,-2.499,-0.45616
Eubacterium_hallii_DSM_3353_but,-1.5989,-0.917,0,-2.499,-0.45616
Eubacterium_rectale_ATCC_33656_ac,-17.2404,-0.71076,0,-84.652,-8.85
Eubacterium_rectale_ATCC_33656_but,-17.2404,-0.71076,0,-84.652,-8.85
Eubacterium_rectale_M104_1_ac,-15.98,-0.66448,0,-77.064,-8.1476
Eubacterium_rectale_M104_1_but,-15.98,-0.66448,0,-77.064,-8.1476
Eubacterium_ventriosum_ATCC_27560_ac,-0.6742,-0.81796,0,-4.422,0
Eubacterium_ventriosum_ATCC_27560_but,-0.6742,-0.81796,0,-4.422,0
Eubacterium_ventriosum_ATCC_27560_gal,0.0008288,0.0010055,0,0.005436,0
Faecalibacterium_cf_prausnitzii_KLE1255_ac,-17.3832,-19.7,-5.2936,-27.7592,-3.7904
Faecalibacterium_cf_prausnitzii_KLE1255_but,-17.3832,-19.7,-5.2936,-27.7592,-3.7904
Faecalibacterium_prausnitzii_L2_6_ac,-7.5532,-25.9264,-5.514,-8.0516,-3.858
Faecalibacterium_prausnitzii_L2_6_but,-7.5532,-25.9264,-5.514,-8.0516,-3.858
Faecalibacterium_prausnitzii_M21_2_ac,-4.5484,-17.7984,-2.672,-13.978,-1.3691
Faecalibacterium_prausnitzii_M21_2_but,-4.5484,-17.7984,-2.672,-13.978,-1.3691
Faecalibacterium_prausnitzii_M21_2_ppa,-4.5484,-17.7984,-2.672,-13.978,-1.3691
Faecalibacterium_prausnitzii_SL3_3_ac,-4.1824,-17.0412,-2.3602,-14.108,-1.2858
Faecalibacterium_prausnitzii_SL3_3_but,-4.1824,-17.0412,-2.3602,-14.108,-1.2858
Faecalibacterium_prausnitzii_SL3_3_ppa,-4.1824,-17.0412,-2.3602,-14.108,-1.2858
Klebsiella_pneumoniae_pneumoniae_MGH78578_ac,-1.9385,-0.4474,-3.2596,0,-12.792
Klebsiella_pneumoniae_pneumoniae_MGH78578_gal,-0.1,-0.1,-0.1,0,-0.1
Klebsiella_sp_1_1_55_ac,-0.44728,0,-2.0716,0,-10.7924
Klebsiella_sp_1_1_55_gal,-0.1,0,-0.1,0,-0.1
Lachnospiraceae_bacterium_sp_8_1_57FAA_ac,-0.82084,-9.0768,0,-4.0964,-2.8051
Lactobacillus_ruminis_ATCC_25644_ac,-13.4328,0,0,0,0
Olsenella_uli_DSM_7084_ac,-2.7736,0,0,0,0
Olsenella_uli_DSM_7084_ppa,-2.7736,0,0,0,0
Pseudoflavonifractor_capillosus_strain_ATCC_29799_ac,-0.47032,-0.53844,-0.64928,-0.71084,0
Roseburia_intestinalis_L1_82_ac,-0.85292,-0.58536,0,-1.8991,-0.61712
Roseburia_intestinalis_L1_82_but,-0.85292,-0.58536,0,-1.8991,-0.61712
Roseburia_inulinivorans_DSM_16841_ac,-1.1168,-2.4437,-1.0649,-13.5948,-7.9392
Roseburia_inulinivorans_DSM_16841_but,-1.1168,-2.4437,-1.0649,-13.5948,-7.9392
Roseburia_inulinivorans_DSM_16841_ppa,-1.1168,-2.4437,-1.0649,-13.5948,-7.9392
Ruminococcaceae_bacterium_D16_ac,-0.5866,-1.2572,-0.74144,-1.3994,0
Ruminococcaceae_bacterium_D16_but,-0.5866,-1.2572,-0.74144,-1.3994,0
Ruminococcus_bicirculans_80_3_ac,-3.0008,0,0,0,0
Ruminococcus_bicirculans_80_3_gal,0.0023169,0,0,0,0
Ruminococcus_bromii_L2_63_ac,-8.2412,-0.55412,-1.1258,-1.5986,0
Ruminococcus_gnavus_ATCC_29149_ac,-0.43344,-1.3254,0,-2.0108,0
Ruminococcus_gnavus_ATCC_29149_gal,-0.43344,-1.3254,0,-2.0108,0
Ruminococcus_gnavus_ATCC_29149_ppa,-0.43344,-1.3254,0,-2.0093,0
Ruminococcus_obeum_A2_162_ac,-0.71004,-1.6246,0,-2.5568,-1.0508
Ruminococcus_obeum_A2_162_ppa,-0.71004,-1.6246,0,-2.5568,-1.0508
Ruminococcus_sp_5_1_39BFAA_ac,-1.7544,-4.9996,-0.44172,-8.428,-3.6056
Ruminococcus_sp_SR1_5_ac,-0.7538,-0.87312,0,-1.6095,-1.1012
Ruminococcus_sp_SR1_5_ppa,-0.7538,-0.87312,0,-1.6095,-1.1012
Ruminococcus_torques_ATCC_27756_ac,-0.49312,-8.1668,0,-2.0348,-1.7306
Ruminococcus_torques_ATCC_27756_gal,-0.49312,-5,0,-2.0348,-1.7306
Ruminococcus_torques_ATCC_27756_ppa,-0.49312,-8.1668,0,-2.0348,-1.7306
Ruminococcus_torques_L2_14_ac,-1.3327,-13.6304,0,-4.506,-7.8152
Ruminococcus_torques_L2_14_ppa,-1.3327,-13.6304,0,-4.506,-7.8152
Slackia_piriformis_YIT_12062_ac,-0.554,0,0,0,0
Streptococcus_anginosus_1_2_62CV_ac,-0.49832,-0.53404,0,0,0
Streptococcus_salivarius_JIM8777_ac,-1.8773,-41.92,-2.2899,-1.9421,-0.95744
Streptococcus_salivarius_JIM8777_ppa,-1.8773,-41.92,-2.2899,-1.9421,-0.95744
Subdoligranulum_variabile_DSM_15176_ac,-5.9344,-1.6005,-3.7843,-1.309,-1.6611
Subdoligranulum_variabile_DSM_15176_but,-5.9344,-1.6005,-3.7843,-1.309,-1.6611
Weissella_cibaria_KACC_11862_ac,-0.5582,0,0,0,0
Actinomyces_odontolyticus_ATCC_17982_ac,0,-1.1582,-1.1862,0,0
Actinomyces_oris_K20_ac,0,-1.4713,0,-2.1937,-1.0771
Actinomyces_oris_K20_ppa,0,-1.4752,0,-2.1995,-1.08
Alistipes_putredinis_DSM_17216_ac,0,-0.836,0,0,0
Alistipes_putredinis_DSM_17216_isobut,0,-0.836,0,0,0
Alistipes_putredinis_DSM_17216_ppa,0,-0.836,0,0,0
Anaerotruncus_colihominis_DSM_17241_ac,0,-0.46588,0,-0.66764,0
Anaerotruncus_colihominis_DSM_17241_but,0,-0.46588,0,-0.66764,0
Blautia_hydrogenotrophica_DSM_10507_ac,0,-0.89328,0,0,0
Blautia_hydrogenotrophica_DSM_10507_isobut,0,-0.89328,0,0,0
Clostridium_bolteae_ATCC_BAA_613_ac,0,-0.58776,0,0,0
Clostridium_ramosum_VPI_0427_DSM_1402_ac,0,-3.2311,0,0,0
Clostridium_scindens_ATCC_35704_ac,0,-4.342,0,0,0
Clostridium_sp_L2_50_ac,0,-0.9664,0,-0.95296,-0.4818
Clostridium_sp_L2_50_but,0,-0.9664,0,-0.95296,-0.4818
Clostridium_sp_SS2_1_ac,0,-7.5148,0,-0.84388,0
Clostridium_sp_SS2_1_but,0,-7.5148,0,-0.84388,0
Clostridium_symbiosum_WAL_14673_ac,0,-0.5934,0,0,0
Clostridium_symbiosum_WAL_14673_but,0,-0.5934,0,0,0
Coprobacillus_sp_D7_ac,0,-2.4499,0,0,0
Coprobacillus_sp_D7_but,0,-2.4499,0,0,0
Coprobacillus_sp_D7_isobut,0,-2.4499,0,0,0
Coprococcus_comes_ATCC_27758_ac,0,-1.9568,-0.5834,-2.2416,-9.3012
Coprococcus_comes_ATCC_27758_but,0,-1.9568,-0.5834,-2.2416,-9.3012
Coprococcus_comes_ATCC_27758_ppa,0,-1.9552,-0.58294,-2.2398,-9.2939
Eggerthella_sp_1_3_56FAA_ac,0,-3.3147,0,0,0
Eubacterium_biforme_DSM_3989_ac,0,-5.818,-0.60996,0,-16.6028
Eubacterium_biforme_DSM_3989_but,0,-5.818,-0.60996,0,-16.6028
Holdemania_filiformis_VPI_J1_31B_1_DSM_12042_ac,0,-2.8144,0,-0.71696,0
Lachnospiraceae_bacterium_sp_5_1_63FAA_ac,0,-10.6084,0,-1.3467,0
Lachnospiraceae_bacterium_sp_5_1_63FAA_but,0,-10.6084,0,-1.3467,0
Lactobacillus_brevis_ATCC_367_ac,0,-0.79276,0,0,0
Lactobacillus_brevis_ATCC_367_gal,0,-0.1,0,0,0
Phascolarctobacterium_succinatutens_YIT_12067_ppa,0,-0.42588,0,-0.86708,0
Prevotella_brevis_ATCC_19188_ac,0,-1.0708,-1.639,0,0
Prevotella_brevis_ATCC_19188_isobut,0,-1.0708,-1.639,0,0
Prevotella_brevis_ATCC_19188_ppa,0,-1.0708,-1.639,0,0
Rothia_mucilaginosa_DY_18_ac,0,-1.0554,-1.6145,0,0
Ruminococcus_lactaris_ATCC_29176_ac,0,-1.0949,0,-1.0732,-3.9227
Streptococcus_australis_ATCC_700641_ac,0,-6.7412,0,0,0
Streptococcus_australis_ATCC_700641_ppa,0,-6.7412,0,0,0
Streptococcus_constellatus_subsp_pharyngis_SK1060_ac,0,-0.6832,0,0,0
Streptococcus_constellatus_subsp_pharyngis_SK1060_ppa,0,-0.6832,0,0,0
Streptococcus_gordonii_str_Challis_substr_CH1_ac,0,-0.81664,0,0,0
Streptococcus_gordonii_str_Challis_substr_CH1_ppa,0,-0.81664,0,0,0
Streptococcus_infantis_ATCC_700779_ac,0,-3.1406,0,0,0
Streptococcus_infantis_ATCC_700779_ppa,0,-3.1406,0,0,0
Streptococcus_mitis_NCTC_12261_ac,0,-2.903,0,0,0
Streptococcus_mitis_NCTC_12261_ppa,0,-2.903,0,0,0
Streptococcus_oralis_Uo5_ac,0,-4.4192,0,0,0
Streptococcus_oralis_Uo5_ppa,0,-4.4192,0,0,0
Streptococcus_parasanguinis_ATCC_903_ac,0,-58.6,-1.8936,0,-0.44572
Streptococcus_parasanguinis_ATCC_903_ppa,0,-58.6,-1.8936,0,-0.44572
Streptococcus_peroris_ATCC_700780_ac,0,-0.67488,0,0,0
Streptococcus_peroris_ATCC_700780_ppa,0,-0.67488,0,0,0
Streptococcus_pseudopneumoniae_IS7493_ac,0,-1.489,0,0,0
Streptococcus_pseudopneumoniae_IS7493_ppa,0,-1.489,0,0,0
Streptococcus_sanguinis_SK36_ac,0,-0.59388,0,0,0
Streptococcus_sanguinis_SK36_ppa,0,-0.59388,0,0,0
Streptococcus_sp_2_1_36FAA_ac,0,-2.8253,0,0,0
Streptococcus_sp_I_G2_ac,0,-4.3864,0,0,0
Streptococcus_sp_I_P16_ac,0,-5.5592,0,0,0
Streptococcus_thermophilus_LMG_18311_ac,0,-7.0428,0,0,0
Streptococcus_vestibularis_F0396_ac,0,-34.2172,-0.51912,-0.45244,0
Streptococcus_vestibularis_F0396_ppa,0,-34.2172,-0.51912,-0.45244,0
Actinomyces_turicensis_ACS_279_V_Col4_ac,0,0,-0.9228,0,0
Actinomyces_turicensis_ACS_279_V_Col4_ppa,0,0,-0.9228,0,0
Bifidobacterium_dentium_ATCC_27678_ac,0,0,-1.143,0,0
Bifidobacterium_dentium_ATCC_27678_gal,0,0,-0.1,0,0
Clostridium_hathewayi_12489931_ac,0,0,-1.2956,0,0
Collinsella_tanakaei_YIT_12063_ac,0,0,-2.3125,0,0
Collinsella_tanakaei_YIT_12063_ppa,0,0,-2.3125,0,0
Streptococcus_equinus_ATCC_9812_ac,0,0,-0.46408,0,0
Streptococcus_gallolyticus_subsp_gallolyticus_ATCC_43143_ac,0,0,-0.40112,0,0
Streptococcus_gallolyticus_subsp_gallolyticus_ATCC_43143_ppa,0,0,-0.40112,0,0
Streptococcus_infantarius_subsp_infantarius_ATCC_BAA_102_ac,0,0,-7.9024,0,0
Weissella_confusa_LBAE_C39_2_ac,0,0,-11.4572,0,0
Akkermansia_muciniphila_ATCC_BAA_835_ac,0,0,0,-4.5816,-0.48544
Akkermansia_muciniphila_ATCC_BAA_835_gal,0,0,0,-4.5816,-0.48544
Akkermansia_muciniphila_ATCC_BAA_835_ppa,0,0,0,-4.5816,-0.48544
Clostridium_asparagiforme_DSM_15981_ac,0,0,0,-0.8532,0
Clostridium_symbiosum_WAL_14163_ac,0,0,0,-0.57416,0
Clostridium_symbiosum_WAL_14163_but,0,0,0,-0.57416,0
Coprobacillus_sp_29_1_ac,0,0,0,-1.0917,0
Coprobacillus_sp_29_1_but,0,0,0,-1.0917,0
Coprobacillus_sp_29_1_isobut,0,0,0,-1.0917,0
Coprococcus_eutactus_ATCC_27759_ac,0,0,0,-0.57192,0
Coprococcus_eutactus_ATCC_27759_but,0,0,0,-0.57192,0
Coprococcus_eutactus_ATCC_27759_ppa,0,0,0,-0.57192,0
Erysipelotrichaceae_bacterium_5_2_54FAA_ac,0,0,0,-0.423,0
Erysipelotrichaceae_bacterium_5_2_54FAA_but,0,0,0,-0.423,0
Eubacterium_siraeum_70_3_ac,0,0,0,-0.88476,0
Eubacterium_siraeum_70_3_but,0,0,0,-0.88476,0
Megasphaera_elsdenii_DSM_20460_ac,0,0,0,-1.5445,0
Megasphaera_elsdenii_DSM_20460_but,0,0,0,-1.5445,0
Megasphaera_elsdenii_DSM_20460_isobut,0,0,0,-1.5445,0
Megasphaera_elsdenii_DSM_20460_ppa,0,0,0,-1.5445,0
Prevotella_copri_CB7_DSM_18205_ac,0,0,0,-2.3378,-1.0376
Prevotella_copri_CB7_DSM_18205_ppa,0,0,0,-2.3378,-1.0376
Enterobacter_aerogenes_KCTC_2190_ac,0,0,0,0,-0.7206
Enterobacter_aerogenes_KCTC_2190_gal,0,0,0,0,-0.1
Enterobacter_aerogenes_KCTC_2190_ppa,0,0,0,0,-0.7206
Escherichia_fergusonii_ATCC_35469_ac,0,0,0,0,-2.1488
Escherichia_fergusonii_ATCC_35469_ppa,0,0,0,0,-2.1488
Fusobacterium_mortiferum_ATCC_9817_ac,0,0,0,0,-1.3759
Fusobacterium_mortiferum_ATCC_9817_but,0,0,0,0,-1.3759
Fusobacterium_mortiferum_ATCC_9817_ppa,0,0,0,0,-1.3759
Megamonas_funiformis_YIT_11815_ac,0,0,0,0,-0.63916
Megamonas_funiformis_YIT_11815_gal,0,0,0,0,-0.1
Megamonas_funiformis_YIT_11815_ppa,0,0,0,0,-0.63916
Megamonas_hypermegale_ART12_1_ac,0,0,0,0,-1.1059
Megamonas_hypermegale_ART12_1_gal,0,0,0,0,-0.1
Megamonas_hypermegale_ART12_1_ppa,0,0,0,0,-1.1059
