,Placebo_A_461K_BV3D21,Placebo_A_466Y_YV3D21,Placebo_A_564P_MV3D21,Placebo_A_661R_BV3D21,Placebo_A_665S_JV3D21
Bifidobacterium_longum_E18_gal,5.0928,0,4.7332,0,0
Bifidobacterium_longum_NCC2705_ac,7.6524,0,4.28,0,0
Bifidobacterium_longum_NCC2705_gal,5.0928,0,4.28,0,0
Bifidobacterium_longum_NCC2705_melib,0.1,0,0.1,0,0
Bifidobacterium_longum_infantis_157F_NC_ac,7.734,0,4.6628,0.52728,0
Bifidobacterium_longum_infantis_157F_NC_gal,5.0928,0,4.6628,0.52728,0
Bifidobacterium_longum_infantis_157F_NC_melib,0.1,0,0.1,0.1,0
Bifidobacterium_longum_infantis_ATCC_15697_ac,1.52,0,0.85504,0,0
Bifidobacterium_longum_infantis_ATCC_15697_gal,1.52,0,0.85504,0,0
Bifidobacterium_longum_infantis_ATCC_15697_melib,0.1,0,0.1,0,0
Bifidobacterium_longum_longum_ATCC_55813_ac,9.4964,0,5.426,0.5852,0
Bifidobacterium_longum_longum_ATCC_55813_gal,5.0928,0,5.1,0.5852,0
Bifidobacterium_longum_longum_ATCC_55813_melib,0.1,0,0.1,0.1,0
Bifidobacterium_longum_longum_BBMN68_ac,9.3524,0,5.1993,0.72939,0
Bifidobacterium_longum_longum_BBMN68_gal,5.0928,0,5.1,0.72948,0
Bifidobacterium_longum_longum_BBMN68_melib,0.1,0,0.1,0.1,0
Bifidobacterium_longum_longum_CCUG_52486_ac,8.0908,0,4.4812,0,0
Bifidobacterium_longum_longum_CCUG_52486_gal,5.0928,0,4.4812,0,0
Bifidobacterium_longum_longum_CCUG_52486_melib,0.1,0,0.1,0,0
Bifidobacterium_longum_longum_JCM_1217_ac,7.2287,0,4.4318,0.40331,0
Bifidobacterium_longum_longum_JCM_1217_gal,5.0928,0,4.4324,0.40336,0
Bifidobacterium_longum_longum_JCM_1217_melib,0.1,0,0.1,0.1,0
Bifidobacterium_longum_longum_JDM301_ac,3.7409,0,1.8696,0,0
Bifidobacterium_longum_longum_JDM301_gal,3.7413,0,1.8698,0,0
Bifidobacterium_longum_longum_JDM301_melib,0.1,0,0.1,0,0
Bifidobacterium_pseudocatenulatum_DSM_20438_ac,5.5812,0,20.1052,0,0
Bifidobacterium_pseudocatenulatum_DSM_20438_gal,5.0928,0,5.1,0,0
Bifidobacterium_pseudocatenulatum_DSM_20438_melib,0.1,0,0.1,0,0
Bifidobacterium_ruminantium_DSM_6489_ac,2.5954,0,0,0,0
Bifidobacterium_ruminantium_DSM_6489_gal,2.5957,0,0,0,0
Bifidobacterium_ruminantium_DSM_6489_melib,0.1,0,0,0,0
Bilophila_wadsworthia_3_1_6_ac,0.57372,0,0,0,0
Blautia_hansenii_VPI_C7_24_DSM_20583_ac,0.56744,0.43776,0,1.4974,0
Blautia_hansenii_VPI_C7_24_DSM_20583_gal,0.56744,0.43776,0,1.4974,0
Blautia_hansenii_VPI_C7_24_DSM_20583_melib,0.1,0.1,0,0.1,0
Butyrivibrio_crossotus_DSM_2876_ac,0.66124,0,0,1.6931,0
Butyrivibrio_crossotus_DSM_2876_but,0.66124,0,0,1.6931,0
Butyrivibrio_crossotus_DSM_2876_gal,0.21324,0,0,0.51895,0
Clostridium_leptum_DSM_753_ac,2.7573,0.82475,0,1.2252,0
Clostridium_nexile_DSM_1787_ac,2.122,2.2754,0,1.946,0.73908
Clostridium_nexile_DSM_1787_gal,0.0026087,0.0027972,0,0.0023922,0.00090857
Clostridium_sp_M62_1_ac,0.4884,1.5748,0,2.2093,0.50972
Clostridium_sp_M62_1_gal,0.0006004,0.001936,0,0.0027159,0.00062661
Collinsella_aerofaciens_ATCC_25986_ac,12.7,0,14.4668,5.5804,22.4412
Collinsella_aerofaciens_ATCC_25986_gal,5.0928,0,5.1,5.0874,2.3145
Collinsella_intestinalis_DSM_13280_ac,6.6036,0,0,0,0
Collinsella_intestinalis_DSM_13280_gal,4.7526,0,0,0,0
Collinsella_stercoris_DSM_13279_ac,0.88936,0,0,0,0
Collinsella_stercoris_DSM_13279_gal,0.88936,0,0,0,0
Coprococcus_catus_GD_7_ac,1.7852,0.9252,0,2.5445,1.2896
Coprococcus_catus_GD_7_but,1.7852,0.9252,0,2.5445,1.2896
Corynebacterium_ureicelerivorans_ac,2.2054,0,3.7961,0,0
Dermacoccus_nishinomiyaensis_ac,69.252,0,126.14,23.202,0
Dermacoccus_nishinomiyaensis_gal,5.0928,0,5.1,5.0874,0
Dermacoccus_nishinomiyaensis_ppa,43.7409,0,32.6365,23.202,0
Dialister_succinatiphilus_YIT_11850_ac,1.4006,0,0,0,3.4152
Dorea_formicigenerans_ATCC_27755_ac,1.9442,7.0012,0.48468,2.4754,1.7806
Dorea_formicigenerans_ATCC_27755_gal,1.9442,5.0943,0.48468,2.4754,1.7806
Dorea_longicatena_DSM_13814_ac,0.74664,1.6944,0,7.8096,2.0727
Dorea_longicatena_DSM_13814_gal,0.74664,1.6944,0,5.0874,2.0727
Dorea_longicatena_DSM_13814_melib,0.1,0.1,0,0.1,0.1
Escherichia_coli_O157_H7_str_Sakai_ac,1.2306,0.54136,1.424,0,19.4376
Escherichia_coli_O157_H7_str_Sakai_but,1.2306,0.54136,1.424,0,19.4376
Escherichia_coli_O157_H7_str_Sakai_gal,1.2306,0.54136,1.424,0,2.3145
Escherichia_coli_O157_H7_str_Sakai_melib,0.1,0.1,0.1,0,0.1
Escherichia_coli_O157_H7_str_Sakai_ppa,1.2306,0.54136,1.424,0,19.4376
Escherichia_coli_SE11_ac,5.1004,1.1405,1.8454,0.49,111.828
Escherichia_coli_SE11_gal,5.0928,1.1405,1.8454,0.49,2.3145
Escherichia_coli_SE11_melib,0.1,0.1,0.1,0.1,0.1
Escherichia_coli_SE11_ppa,5.1004,1.1405,1.8454,0.49,111.828
Escherichia_coli_UTI89_UPEC_ac,1.2312,0.87472,1.1049,0,4.7128
Escherichia_coli_UTI89_UPEC_but,1.2312,0.87472,1.1049,0,4.7128
Escherichia_coli_UTI89_UPEC_gal,1.2312,0.87472,1.1049,0,2.3145
Escherichia_coli_UTI89_UPEC_ppa,1.2312,0.87472,1.1049,0,4.7128
Escherichia_coli_str_K_12_substr_MG1655_ac,1.9198,1.6333,2.8633,0.4038,29.3896
Escherichia_coli_str_K_12_substr_MG1655_but,1.9198,1.6333,2.8633,0.4038,29.3896
Escherichia_coli_str_K_12_substr_MG1655_gal,1.9198,1.6333,2.8633,0.4038,2.3145
Escherichia_coli_str_K_12_substr_MG1655_melib,0.1,0.1,0.1,0.1,0.1
Escherichia_coli_str_K_12_substr_MG1655_ppa,1.9198,1.6333,2.8633,0.4038,29.3896
Escherichia_sp_1_1_43_ac,1.9171,1.6193,2.2053,0,29.7708
Escherichia_sp_1_1_43_melib,0.1,0.1,0.1,0,0.1
Escherichia_sp_3_2_53FAA_ac,1.2537,0.86188,1.0968,0,5.9932
Escherichia_sp_3_2_53FAA_but,1.2537,0.86188,1.0968,0,5.9932
Escherichia_sp_3_2_53FAA_gal,1.2537,0.86188,1.0968,0,2.3145
Escherichia_sp_3_2_53FAA_ppa,1.2537,0.86188,1.0968,0,5.9932
Escherichia_sp_4_1_40B_ac,2.0861,1.5947,2.9295,0.40264,31.6348
Escherichia_sp_4_1_40B_but,2.0861,1.5947,2.9295,0.40264,31.6348
Escherichia_sp_4_1_40B_gal,2.0861,1.5947,2.9295,0.40264,2.3145
Escherichia_sp_4_1_40B_melib,0.1,0.1,0.1,0.1,0.1
Escherichia_sp_4_1_40B_ppa,2.0861,1.5947,2.9295,0.40264,31.6348
Eubacterium_dolichum_DSM_3991_ac,0.78888,0,0,0,0
Eubacterium_eligens_ATCC_27750_ac,0.4634,0,0,1.184,0.42732
Eubacterium_eligens_ATCC_27750_gal,0.4634,0,0,1.184,0.42732
Eubacterium_hallii_DSM_3353_ac,1.5989,0.917,0,2.499,0.45616
Eubacterium_hallii_DSM_3353_gal,1.5989,0.917,0,2.499,0.45616
Eubacterium_rectale_ATCC_33656_ac,17.2404,0.71076,0,84.652,8.85
Eubacterium_rectale_ATCC_33656_gal,5.0928,0.6307,0,5.0874,2.3145
Eubacterium_rectale_ATCC_33656_melib,0.1,0.1,0,0.1,0.1
Eubacterium_rectale_M104_1_ac,15.98,0.66448,0,77.064,8.1476
Eubacterium_rectale_M104_1_gal,5.0928,0.58947,0,5.0874,2.3145
Eubacterium_rectale_M104_1_melib,0.1,0.1,0,0.1,0.1
Eubacterium_ventriosum_ATCC_27560_ac,0.6742,0.81796,0,4.422,0
Eubacterium_ventriosum_ATCC_27560_but,0.66777,0.81015,0,4.3782,0
Eubacterium_ventriosum_ATCC_27560_gal,0.00082881,0.0010055,0,0.0054361,0
Faecalibacterium_cf_prausnitzii_KLE1255_ac,17.3832,19.7,5.2936,27.7592,3.7904
Faecalibacterium_prausnitzii_L2_6_ac,7.5532,25.9264,5.514,8.0516,3.858
Faecalibacterium_prausnitzii_L2_6_gal,5.0928,5.0943,4.1387,5.0874,2.3145
Faecalibacterium_prausnitzii_M21_2_ac,4.5484,17.7984,2.672,13.978,1.3691
Faecalibacterium_prausnitzii_M21_2_gal,4.5484,5.0943,2.672,5.0874,1.3691
Faecalibacterium_prausnitzii_M21_2_melib,0.1,0.1,0.1,0.1,0.1
Faecalibacterium_prausnitzii_SL3_3_ac,4.1824,17.0412,2.3602,14.108,1.2858
Faecalibacterium_prausnitzii_SL3_3_gal,4.1824,5.0943,2.3602,5.0874,1.2858
Faecalibacterium_prausnitzii_SL3_3_melib,0.1,0.1,0.1,0.1,0.1
Klebsiella_pneumoniae_pneumoniae_MGH78578_ac,1.9385,0.4474,3.2596,0,12.792
Klebsiella_pneumoniae_pneumoniae_MGH78578_gal,1.9385,0.4474,3.2596,0,2.3145
Klebsiella_pneumoniae_pneumoniae_MGH78578_melib,0.1,0.1,0.1,0,0.1
Klebsiella_sp_1_1_55_ac,0.44728,0,2.0716,0,10.7924
Klebsiella_sp_1_1_55_gal,0.44728,0,2.0716,0,2.3145
Klebsiella_sp_1_1_55_melib,0.1,0,0.1,0,0.1
Lachnospiraceae_bacterium_sp_8_1_57FAA_ac,0.82084,9.0768,0,4.0964,2.8051
Lactobacillus_ruminis_ATCC_25644_ac,13.4297,0,0,0,0
Lactobacillus_ruminis_ATCC_25644_gal,5.0928,0,0,0,0
Lactobacillus_ruminis_ATCC_25644_melib,0.1,0,0,0,0
Olsenella_uli_DSM_7084_ac,2.7732,0,0,0,0
Pseudoflavonifractor_capillosus_strain_ATCC_29799_ac,0.41526,0.47541,0.57328,0.62763,0
Pseudoflavonifractor_capillosus_strain_ATCC_29799_gal,0.36618,0.41922,0.50552,0.55345,0
Roseburia_intestinalis_L1_82_ac,0.85292,0.58536,0,1.8991,0.61712
Roseburia_intestinalis_L1_82_gal,0.85292,0.58536,0,1.8991,0.61712
Roseburia_intestinalis_L1_82_melib,0.1,0.1,0,0.1,0.1
Roseburia_inulinivorans_DSM_16841_ac,1.1168,2.4437,1.0649,13.5948,7.9392
Ruminococcaceae_bacterium_D16_ac,0.5866,1.2572,0.74144,1.3994,0
Ruminococcaceae_bacterium_D16_but,0.5866,1.2572,0.74144,1.3994,0
Ruminococcus_bicirculans_80_3_ac,3.0008,0,0,0,0
Ruminococcus_bicirculans_80_3_gal,0.0023169,0,0,0,0
Ruminococcus_bromii_L2_63_ac,8.2412,0.55412,1.1258,1.5986,0
Ruminococcus_gnavus_ATCC_29149_ac,0.43338,1.3252,0,2.0105,0
Ruminococcus_gnavus_ATCC_29149_but,0.34672,1.0603,0,1.6085,0
Ruminococcus_gnavus_ATCC_29149_gal,0.43344,1.3254,0,2.0108,0
Ruminococcus_gnavus_ATCC_29149_melib,0.1,0.1,0,0.1,0
Ruminococcus_obeum_A2_162_ac,0.71004,1.6246,0,2.5568,1.0508
Ruminococcus_sp_5_1_39BFAA_ac,1.7544,4.9996,0.44172,8.428,3.6056
Ruminococcus_sp_SR1_5_ac,0.7538,0.87312,0,1.6095,1.1012
Ruminococcus_torques_ATCC_27756_ac,0.49312,8.1668,0,2.0348,1.7306
Ruminococcus_torques_ATCC_27756_gal,0.49312,1.4197,0,2.0348,0.5839
Ruminococcus_torques_L2_14_ac,1.3327,13.6304,0,4.506,7.8152
Ruminococcus_torques_L2_14_gal,1.3011,5.0943,0,4.3684,2.3145
Ruminococcus_torques_L2_14_melib,0.1,0.1,0,0.1,0.1
Slackia_piriformis_YIT_12062_ac,0.39339,0,0,0,0
Streptococcus_anginosus_1_2_62CV_ac,0.4982,0.53392,0,0,0
Streptococcus_anginosus_1_2_62CV_gal,0.43832,0.46933,0,0,0
Streptococcus_salivarius_JIM8777_ac,1.8773,41.92,2.2899,1.9421,0.95744
Subdoligranulum_variabile_DSM_15176_ac,5.9344,1.6005,3.7843,1.309,1.6611
Subdoligranulum_variabile_DSM_15176_but,5.9344,1.6005,3.7843,1.309,1.6611
Subdoligranulum_variabile_DSM_15176_gal,5.0928,1.6005,3.7843,1.309,1.6611
Subdoligranulum_variabile_DSM_15176_melib,0.1,0.1,0.1,0.1,0.1
Weissella_cibaria_KACC_11862_ac,0.5582,0,0,0,0
Weissella_cibaria_KACC_11862_gal,0.5582,0,0,0,0
Actinomyces_odontolyticus_ATCC_17982_ac,0,1.1582,1.1862,0,0
Actinomyces_oris_K20_ac,0,1.475,0,2.1992,1.0799
Alistipes_putredinis_DSM_17216_ac,0,0.83533,0,0,0
Anaerotruncus_colihominis_DSM_17241_ac,0,0.46588,0,0.66764,0
Anaerotruncus_colihominis_DSM_17241_but,0,0.46588,0,0.66764,0
Anaerotruncus_colihominis_DSM_17241_gal,0,0.38063,0,0.54547,0
Blautia_hydrogenotrophica_DSM_10507_ac,0,0.89328,0,0,0
Blautia_hydrogenotrophica_DSM_10507_gal,0,0.89328,0,0,0
Clostridium_bolteae_ATCC_BAA_613_ac,0,0.58776,0,0,0
Clostridium_bolteae_ATCC_BAA_613_gal,0,0.58776,0,0,0
Clostridium_ramosum_VPI_0427_DSM_1402_ac,0,3.2311,0,0,0
Clostridium_ramosum_VPI_0427_DSM_1402_gal,0,2.5399,0,0,0
Clostridium_ramosum_VPI_0427_DSM_1402_melib,0,0.1,0,0,0
Clostridium_scindens_ATCC_35704_ac,0,4.342,0,0,0
Clostridium_scindens_ATCC_35704_gal,0,4.342,0,0,0
Clostridium_sp_L2_50_ac,0,0.9664,0,0.95296,0.4818
Clostridium_sp_L2_50_but,0,0.9664,0,0.95296,0.4818
Clostridium_sp_SS2_1_ac,0,7.5148,0,0.84388,0
Clostridium_sp_SS2_1_but,0,7.5148,0,0.84388,0
Clostridium_symbiosum_WAL_14673_ac,0,0.5934,0,0,0
Coprobacillus_sp_D7_ac,0,2.4499,0,0,0
Coprobacillus_sp_D7_gal,0,1.8057,0,0,0
Coprobacillus_sp_D7_melib,0,0.1,0,0,0
Coprococcus_comes_ATCC_27758_ac,0,1.9568,0.5834,2.2416,9.3012
Coprococcus_comes_ATCC_27758_but,0,1.9568,0.5834,2.2416,9.3012
Coprococcus_comes_ATCC_27758_gal,0,1.9568,0.5834,2.2416,2.3145
Coprococcus_comes_ATCC_27758_melib,0,0.1,0.1,0.1,0.1
Eggerthella_sp_1_3_56FAA_ac,0,3.3147,0,0,0
Eubacterium_biforme_DSM_3989_ac,0,5.818,0.60996,0,16.6028
Eubacterium_biforme_DSM_3989_gal,0,5.0943,0.60996,0,2.3145
Holdemania_filiformis_VPI_J1_31B_1_DSM_12042_ac,0,2.8144,0,0.71696,0
Lachnospiraceae_bacterium_sp_5_1_63FAA_ac,0,10.6084,0,1.3467,0
Lachnospiraceae_bacterium_sp_5_1_63FAA_but,0,10.6084,0,1.3467,0
Lactobacillus_brevis_ATCC_367_ac,0,0.79276,0,0,0
Lactobacillus_brevis_ATCC_367_gal,0,0.79276,0,0,0
Lactobacillus_brevis_ATCC_367_melib,0,0.1,0,0,0
Prevotella_brevis_ATCC_19188_ac,0,1.0707,1.6388,0,0
Prevotella_brevis_ATCC_19188_melib,0,0.1,0.1,0,0
Rothia_mucilaginosa_DY_18_ac,0,1.0554,1.6145,0,0
Ruminococcus_lactaris_ATCC_29176_ac,0,0.77068,0,0.75539,2.761
Ruminococcus_lactaris_ATCC_29176_gal,0,0.8054,0,0.78942,2.3145
Streptococcus_australis_ATCC_700641_ac,0,6.7403,0,0,0
Streptococcus_australis_ATCC_700641_gal,0,5.0943,0,0,0
Streptococcus_constellatus_subsp_pharyngis_SK1060_ac,0,0.6832,0,0,0
Streptococcus_constellatus_subsp_pharyngis_SK1060_gal,0,0.6832,0,0,0
Streptococcus_gordonii_str_Challis_substr_CH1_ac,0,0.81664,0,0,0
Streptococcus_gordonii_str_Challis_substr_CH1_gal,0,0.81664,0,0,0
Streptococcus_infantis_ATCC_700779_ac,0,3.1406,0,0,0
Streptococcus_infantis_ATCC_700779_gal,0,3.1406,0,0,0
Streptococcus_mitis_NCTC_12261_ac,0,2.903,0,0,0
Streptococcus_mitis_NCTC_12261_gal,0,2.903,0,0,0
Streptococcus_oralis_Uo5_ac,0,4.4192,0,0,0
Streptococcus_oralis_Uo5_gal,0,4.4192,0,0,0
Streptococcus_parasanguinis_ATCC_903_ac,0,58.592,1.8933,0,0.44566
Streptococcus_parasanguinis_ATCC_903_gal,0,5.0943,1.8936,0,0.44572
Streptococcus_peroris_ATCC_700780_ac,0,0.67488,0,0,0
Streptococcus_peroris_ATCC_700780_gal,0,0.67488,0,0,0
Streptococcus_pseudopneumoniae_IS7493_ac,0,1.489,0,0,0
Streptococcus_pseudopneumoniae_IS7493_gal,0,1.489,0,0,0
Streptococcus_sanguinis_SK36_ac,0,0.59388,0,0,0
Streptococcus_sanguinis_SK36_gal,0,0.59388,0,0,0
Streptococcus_sp_2_1_36FAA_ac,0,2.8242,0,0,0
Streptococcus_sp_2_1_36FAA_gal,0,2.8253,0,0,0
Streptococcus_sp_I_G2_ac,0,4.3857,0,0,0
Streptococcus_sp_I_G2_gal,0,4.3864,0,0,0
Streptococcus_sp_I_P16_ac,0,5.5583,0,0,0
Streptococcus_thermophilus_LMG_18311_ac,0,7.0412,0,0,0
Streptococcus_vestibularis_F0396_ac,0,34.2172,0.51912,0.45244,0
Streptococcus_vestibularis_F0396_gal,0,5.0943,0.51912,0.45244,0
Actinomyces_turicensis_ACS_279_V_Col4_ac,0,0,0.9228,0,0
Bifidobacterium_dentium_ATCC_27678_ac,0,0,1.1429,0,0
Bifidobacterium_dentium_ATCC_27678_gal,0,0,1.143,0,0
Bifidobacterium_dentium_ATCC_27678_melib,0,0,0.1,0,0
Clostridium_hathewayi_12489931_ac,0,0,1.2956,0,0
Clostridium_hathewayi_12489931_gal,0,0,1.2956,0,0
Clostridium_hathewayi_12489931_melib,0,0,0.1,0,0
Collinsella_tanakaei_YIT_12063_ac,0,0,2.3125,0,0
Collinsella_tanakaei_YIT_12063_gal,0,0,2.3125,0,0
Streptococcus_equinus_ATCC_9812_ac,0,0,0.46397,0,0
Streptococcus_equinus_ATCC_9812_gal,0,0,0.44223,0,0
Streptococcus_gallolyticus_subsp_gallolyticus_ATCC_43143_ac,0,0,0.40112,0,0
Streptococcus_gallolyticus_subsp_gallolyticus_ATCC_43143_gal,0,0,0.40112,0,0
Streptococcus_infantarius_subsp_infantarius_ATCC_BAA_102_ac,0,0,7.9006,0,0
Streptococcus_infantarius_subsp_infantarius_ATCC_BAA_102_gal,0,0,5.1,0,0
Streptococcus_infantarius_subsp_infantarius_ATCC_BAA_102_melib,0,0,0.1,0,0
Weissella_confusa_LBAE_C39_2_ac,0,0,11.4572,0,0
Weissella_confusa_LBAE_C39_2_gal,0,0,5.1,0,0
Akkermansia_muciniphila_ATCC_BAA_835_ac,0,0,0,4.5713,0.48435
Clostridium_asparagiforme_DSM_15981_ac,0,0,0,0.85308,0
Clostridium_asparagiforme_DSM_15981_gal,0,0,0,0.8532,0
Clostridium_symbiosum_WAL_14163_ac,0,0,0,0.57416,0
Coprobacillus_sp_29_1_ac,0,0,0,1.0917,0
Coprococcus_eutactus_ATCC_27759_ac,0,0,0,0.57192,0
Coprococcus_eutactus_ATCC_27759_but,0,0,0,0.57192,0
Coprococcus_eutactus_ATCC_27759_gal,0,0,0,0.54553,0
Coprococcus_eutactus_ATCC_27759_melib,0,0,0,0.1,0
Erysipelotrichaceae_bacterium_5_2_54FAA_ac,0,0,0,0.423,0
Eubacterium_siraeum_70_3_ac,0,0,0,0.88476,0
Megasphaera_elsdenii_DSM_20460_ac,0,0,0,1.5445,0
Prevotella_copri_CB7_DSM_18205_ac,0,0,0,2.3378,1.0376
Enterobacter_aerogenes_KCTC_2190_ac,0,0,0,0,0.7206
Enterobacter_aerogenes_KCTC_2190_gal,0,0,0,0,0.7206
Enterobacter_aerogenes_KCTC_2190_melib,0,0,0,0,0.1
Escherichia_fergusonii_ATCC_35469_ac,0,0,0,0,2.1488
Escherichia_fergusonii_ATCC_35469_but,0,0,0,0,2.1488
Escherichia_fergusonii_ATCC_35469_gal,0,0,0,0,2.1488
Escherichia_fergusonii_ATCC_35469_ppa,0,0,0,0,2.1488
Fusobacterium_mortiferum_ATCC_9817_ac,0,0,0,0,1.3759
Fusobacterium_mortiferum_ATCC_9817_but,0,0,0,0,1.3759
Fusobacterium_mortiferum_ATCC_9817_gal,0,0,0,0,0.68229
Fusobacterium_mortiferum_ATCC_9817_melib,0,0,0,0,0.1
Megamonas_funiformis_YIT_11815_ac,0,0,0,0,0.63908
Megamonas_funiformis_YIT_11815_gal,0,0,0,0,0.63916
Megamonas_funiformis_YIT_11815_melib,0,0,0,0,0.1
Megamonas_hypermegale_ART12_1_ac,0,0,0,0,1.1059
Megamonas_hypermegale_ART12_1_gal,0,0,0,0,1.1059
Megamonas_hypermegale_ART12_1_melib,0,0,0,0,0.1
