,Placebo_A_461K_BV3D21,Placebo_A_466Y_YV3D21,Placebo_A_564P_MV3D21,Placebo_A_661R_BV3D21,Placebo_A_665S_JV3D21
Dermacoccus_nishinomiyaensis_ppa,112.9929,0,158.7765,46.404,0
Dialister_succinatiphilus_YIT_11850_ac,2.8014,0,0,0,6.8308
Dialister_succinatiphilus_YIT_11850_ppa,1.4008,0,0,0,3.4156
Dorea_formicigenerans_ATCC_27755_ac,3.8884,14.0024,0.96936,4.9508,3.5612
Dorea_formicigenerans_ATCC_27755_gal,1.9442,5.0943,0.48468,2.4754,1.7806
Dorea_formicigenerans_ATCC_27755_ppa,1.9442,7.0012,0.48468,2.4754,1.7806
Dorea_longicatena_DSM_13814_ac,1.4933,3.3888,0,15.6192,4.1454
Dorea_longicatena_DSM_13814_but,0,0,0,0,0
Dorea_longicatena_DSM_13814_gal,0.74664,1.6944,0,5.0874,2.0727
Dorea_longicatena_DSM_13814_mantr,0,0,0,0,0
Dorea_longicatena_DSM_13814_melib,0.1,0.1,0,0.1,0.1
Escherichia_coli_O157_H7_str_Sakai_ac,2.4612,1.0827,2.848,0,38.8752
Escherichia_coli_O157_H7_str_Sakai_but,1.2306,0.54136,1.424,0,19.4376
Escherichia_coli_O157_H7_str_Sakai_gal,1.3306,0.64136,1.524,0,2.4145
Escherichia_coli_O157_H7_str_Sakai_mantr,0,0,0,0,0
Escherichia_coli_O157_H7_str_Sakai_melib,0.1,0.1,0.1,0,0.1
Escherichia_coli_O157_H7_str_Sakai_ppa,2.4612,1.0827,2.848,0,38.8752
Escherichia_coli_SE11_ac,10.2008,2.281,3.6908,0.98,223.656
Escherichia_coli_SE11_gal,5.1928,1.2405,1.9454,0.59,2.4145
Escherichia_coli_SE11_mantr,0,0,0,0,0
Escherichia_coli_SE11_melib,0.1,0.1,0.1,0.1,0.1
Escherichia_coli_SE11_ppa,10.2008,2.281,3.6908,0.98,223.656
Escherichia_coli_UTI89_UPEC_ac,2.4624,1.7494,2.2098,0,9.4256
Escherichia_coli_UTI89_UPEC_but,1.2312,0.87472,1.1049,0,4.7128
Escherichia_coli_UTI89_UPEC_gal,1.2312,0.87472,1.1049,0,2.3145
Escherichia_coli_UTI89_UPEC_mantr,0,0,0,0,0
Escherichia_coli_UTI89_UPEC_ppa,2.4624,1.7494,2.2098,0,9.4256
Escherichia_coli_str_K_12_substr_MG1655_ac,3.8396,3.2666,5.7266,0.8076,58.7792
Escherichia_coli_str_K_12_substr_MG1655_but,1.9198,1.6333,2.8633,0.4038,29.3896
Escherichia_coli_str_K_12_substr_MG1655_gal,2.0198,1.7333,2.9633,0.5038,2.4145
Escherichia_coli_str_K_12_substr_MG1655_mantr,0,0,0,0,0
Escherichia_coli_str_K_12_substr_MG1655_melib,0.1,0.1,0.1,0.1,0.1
Escherichia_coli_str_K_12_substr_MG1655_ppa,3.8396,3.2666,5.7266,0.8076,58.7792
Escherichia_sp_1_1_43_ac,3.8342,3.2386,4.4106,0,59.5416
Escherichia_sp_1_1_43_gal,0.1,0.1,0.1,0,0.1
Escherichia_sp_1_1_43_mantr,0,0,0,0,0
Escherichia_sp_1_1_43_melib,0.1,0.1,0.1,0,0.1
Escherichia_sp_3_2_53FAA_ac,2.5074,1.7238,2.1936,0,11.9864
Escherichia_sp_3_2_53FAA_but,1.2537,0.86188,1.0968,0,5.9932
Escherichia_sp_3_2_53FAA_gal,1.2537,0.86188,1.0968,0,2.3145
Escherichia_sp_3_2_53FAA_mantr,0,0,0,0,0
Escherichia_sp_3_2_53FAA_ppa,2.5074,1.7238,2.1936,0,11.9864
Escherichia_sp_4_1_40B_ac,4.1722,3.1894,5.859,0.80528,63.2696
Escherichia_sp_4_1_40B_but,2.0861,1.5947,2.9295,0.40264,31.6348
Escherichia_sp_4_1_40B_gal,2.1861,1.6947,3.0295,0.50264,2.4145
Escherichia_sp_4_1_40B_mantr,0,0,0,0,0
Escherichia_sp_4_1_40B_melib,0.1,0.1,0.1,0.1,0.1
Escherichia_sp_4_1_40B_ppa,4.1722,3.1894,5.859,0.80528,63.2696
Eubacterium_dolichum_DSM_3991_ac,1.5778,0,0,0,0
Eubacterium_dolichum_DSM_3991_but,0.78888,0,0,0,0
Eubacterium_eligens_ATCC_27750_ac,0.9268,0,0,2.368,0.85464
Eubacterium_eligens_ATCC_27750_gal,0.4634,0,0,1.184,0.42732
Eubacterium_eligens_ATCC_27750_melib,0,0,0,0,0
Eubacterium_eligens_ATCC_27750_ppa,0.4634,0,0,1.184,0.42732
Eubacterium_hallii_DSM_3353_ac,3.1978,1.834,0,4.998,0.91232
Eubacterium_hallii_DSM_3353_but,1.5989,0.917,0,2.499,0.45616
Eubacterium_hallii_DSM_3353_gal,1.5989,0.917,0,2.499,0.45616
Eubacterium_hallii_DSM_3353_melib,0,0,0,0,0
Eubacterium_rectale_ATCC_33656_ac,34.4808,1.4215,0,169.304,17.7
Eubacterium_rectale_ATCC_33656_but,17.2404,0.71076,0,84.652,8.85
Eubacterium_rectale_ATCC_33656_gal,5.0928,0.6307,0,5.0874,2.3145
Eubacterium_rectale_ATCC_33656_mantr,0,0,0,0,0
Eubacterium_rectale_ATCC_33656_melib,0.1,0.1,0,0.1,0.1
Eubacterium_rectale_M104_1_ac,31.96,1.329,0,154.128,16.2952
Eubacterium_rectale_M104_1_but,15.98,0.66448,0,77.064,8.1476
Eubacterium_rectale_M104_1_gal,5.0928,0.58947,0,5.0874,2.3145
Eubacterium_rectale_M104_1_mantr,0,0,0,0,0
Eubacterium_rectale_M104_1_melib,0.1,0.1,0,0.1,0.1
Eubacterium_ventriosum_ATCC_27560_ac,1.3484,1.6359,0,8.844,0
Eubacterium_ventriosum_ATCC_27560_but,1.342,1.6281,0,8.8002,0
Eubacterium_ventriosum_ATCC_27560_gal,1e-08,0,0,1e-07,0
Faecalibacterium_cf_prausnitzii_KLE1255_ac,34.7664,39.4,10.5872,55.5184,7.5808
Faecalibacterium_cf_prausnitzii_KLE1255_but,17.3832,19.7,5.2936,27.7592,3.7904
Faecalibacterium_cf_prausnitzii_KLE1255_gal,0,0,0,0,0
Faecalibacterium_prausnitzii_L2_6_ac,15.1064,51.8528,11.028,16.1032,7.716
Faecalibacterium_prausnitzii_L2_6_but,7.5532,25.9264,5.514,8.0516,3.858
Faecalibacterium_prausnitzii_L2_6_gal,5.0928,5.0943,4.1387,5.0874,2.3145
Faecalibacterium_prausnitzii_L2_6_melib,0,0,0,0,0
Faecalibacterium_prausnitzii_M21_2_ac,9.0968,35.5968,5.344,27.956,2.7382
Faecalibacterium_prausnitzii_M21_2_but,4.5484,17.7984,2.672,13.978,1.3691
Faecalibacterium_prausnitzii_M21_2_gal,4.5484,5.0943,2.672,5.0874,1.3691
Faecalibacterium_prausnitzii_M21_2_mantr,0,0,0,0,0
Faecalibacterium_prausnitzii_M21_2_melib,0.1,0.1,0.1,0.1,0.1
Faecalibacterium_prausnitzii_M21_2_ppa,4.5484,17.7984,2.672,13.978,1.3691
Faecalibacterium_prausnitzii_SL3_3_ac,8.3648,34.0824,4.7204,28.216,2.5716
Faecalibacterium_prausnitzii_SL3_3_but,4.1824,17.0412,2.3602,14.108,1.2858
Faecalibacterium_prausnitzii_SL3_3_gal,4.1824,5.0943,2.3602,5.0874,1.2858
Faecalibacterium_prausnitzii_SL3_3_mantr,0,0,0,0,0
Faecalibacterium_prausnitzii_SL3_3_melib,0.1,0.1,0.1,0.1,0.1
Faecalibacterium_prausnitzii_SL3_3_ppa,4.1824,17.0412,2.3602,14.108,1.2858
Klebsiella_pneumoniae_pneumoniae_MGH78578_ac,3.877,0.8948,6.5192,0,25.584
Klebsiella_pneumoniae_pneumoniae_MGH78578_gal,2.0385,0.5474,3.3596,0,2.4145
Klebsiella_pneumoniae_pneumoniae_MGH78578_mantr,0,0,0,0,0
Klebsiella_pneumoniae_pneumoniae_MGH78578_melib,0.1,0.1,0.1,0,0.1
Klebsiella_sp_1_1_55_ac,0.89456,0,4.1432,0,21.5848
Klebsiella_sp_1_1_55_gal,0.54728,0,2.1716,0,2.4145
Klebsiella_sp_1_1_55_mantr,0,0,0,0,0
Klebsiella_sp_1_1_55_melib,0.1,0,0.1,0,0.1
Lachnospiraceae_bacterium_sp_8_1_57FAA_ac,1.6417,18.1536,0,8.1928,5.6102
Lachnospiraceae_bacterium_sp_8_1_57FAA_gal,0,0,0,0,0
Lactobacillus_ruminis_ATCC_25644_ac,26.8625,0,0,0,0
Lactobacillus_ruminis_ATCC_25644_gal,5.0928,0,0,0,0
Lactobacillus_ruminis_ATCC_25644_mantr,0,0,0,0,0
Lactobacillus_ruminis_ATCC_25644_melib,0.1,0,0,0,0
Olsenella_uli_DSM_7084_ac,5.5468,0,0,0,0
Olsenella_uli_DSM_7084_ppa,2.7736,0,0,0,0
Pseudoflavonifractor_capillosus_strain_ATCC_29799_ac,0.88558,1.0139,1.2226,1.3385,0
Pseudoflavonifractor_capillosus_strain_ATCC_29799_gal,0.36618,0.41922,0.50552,0.55345,0
Roseburia_intestinalis_L1_82_ac,1.7058,1.1707,0,3.7982,1.2342
Roseburia_intestinalis_L1_82_but,0.85292,0.58536,0,1.8991,0.61712
Roseburia_intestinalis_L1_82_gal,0.85292,0.58536,0,1.8991,0.61712
Roseburia_intestinalis_L1_82_mantr,0,0,0,0,0
Roseburia_intestinalis_L1_82_melib,0.1,0.1,0,0.1,0.1
Roseburia_inulinivorans_DSM_16841_ac,2.2336,4.8874,2.1298,27.1896,15.8784
Roseburia_inulinivorans_DSM_16841_but,1.1168,2.4437,1.0649,13.5948,7.9392
Roseburia_inulinivorans_DSM_16841_gal,0,0,0,0,0
Roseburia_inulinivorans_DSM_16841_melib,0,0,0,0,0
Roseburia_inulinivorans_DSM_16841_ppa,1.1168,2.4437,1.0649,13.5948,7.9392
Ruminococcaceae_bacterium_D16_ac,1.1732,2.5144,1.4829,2.7988,0
Ruminococcaceae_bacterium_D16_but,1.1732,2.5144,1.4829,2.7988,0
Ruminococcaceae_bacterium_D16_gal,0,0,0,0,0
Ruminococcus_bicirculans_80_3_ac,6.0016,0,0,0,0
Ruminococcus_bicirculans_80_3_gal,0,0,0,0,0
Ruminococcus_bicirculans_80_3_mantr,0,0,0,0,0
Ruminococcus_bromii_L2_63_ac,16.4824,1.1082,2.2516,3.1972,0
Ruminococcus_bromii_L2_63_gal,0,0,0,0,0
Ruminococcus_bromii_L2_63_melib,0,0,0,0,0
Ruminococcus_gnavus_ATCC_29149_ac,0.86682,2.6506,0,4.0213,0
Ruminococcus_gnavus_ATCC_29149_but,0.34672,1.0603,0,1.6085,0
Ruminococcus_gnavus_ATCC_29149_gal,0.86688,2.6508,0,4.0216,0
Ruminococcus_gnavus_ATCC_29149_mantr,0,0,0,0,0
Ruminococcus_gnavus_ATCC_29149_melib,0.1,0.1,0,0.1,0
Ruminococcus_gnavus_ATCC_29149_ppa,0.43344,1.3254,0,2.0093,0
Ruminococcus_obeum_A2_162_ac,1.4201,3.2492,0,5.1136,2.1016
Ruminococcus_obeum_A2_162_but,0,0,0,0,0
Ruminococcus_obeum_A2_162_mantr,0,0,0,0,0
Ruminococcus_obeum_A2_162_ppa,0.71004,1.6246,0,2.5568,1.0508
Ruminococcus_sp_5_1_39BFAA_ac,3.5088,9.9992,0.88344,16.856,7.2112
Ruminococcus_sp_SR1_5_ac,1.5076,1.7462,0,3.219,2.2024
Ruminococcus_sp_SR1_5_ppa,0.7538,0.87312,0,1.6095,1.1012
Ruminococcus_torques_ATCC_27756_ac,0.98624,16.3336,0,4.0696,3.4612
Ruminococcus_torques_ATCC_27756_gal,0.98624,6.4197,0,4.0696,2.3145
Ruminococcus_torques_ATCC_27756_mantr,0,0,0,0,0
Ruminococcus_torques_ATCC_27756_ppa,0.49312,8.1668,0,2.0348,1.7306
Ruminococcus_torques_L2_14_ac,2.6654,27.2608,0,9.012,15.6304
Ruminococcus_torques_L2_14_but,0,0,0,0,0
Ruminococcus_torques_L2_14_gal,1.3011,5.0943,0,4.3684,2.3145
Ruminococcus_torques_L2_14_mantr,0,0,0,0,0
Ruminococcus_torques_L2_14_melib,0.1,0.1,0,0.1,0.1
Ruminococcus_torques_L2_14_ppa,1.3327,13.6304,0,4.506,7.8152
Slackia_piriformis_YIT_12062_ac,0.94739,0,0,0,0
Streptococcus_anginosus_1_2_62CV_ac,0.99652,1.068,0,0,0
Streptococcus_anginosus_1_2_62CV_gal,0.43832,0.46933,0,0,0
Streptococcus_salivarius_JIM8777_ac,3.7546,83.84,4.5798,3.8842,1.9149
Streptococcus_salivarius_JIM8777_ppa,1.8773,41.92,2.2899,1.9421,0.95744
Subdoligranulum_variabile_DSM_15176_ac,11.8688,3.201,7.5686,2.618,3.3222
Subdoligranulum_variabile_DSM_15176_but,11.8688,3.201,7.5686,2.618,3.3222
Subdoligranulum_variabile_DSM_15176_gal,5.0928,1.6005,3.7843,1.309,1.6611
Subdoligranulum_variabile_DSM_15176_mantr,0,0,0,0,0
Subdoligranulum_variabile_DSM_15176_melib,0.1,0.1,0.1,0.1,0.1
Weissella_cibaria_KACC_11862_ac,1.1164,0,0,0,0
Weissella_cibaria_KACC_11862_but,0,0,0,0,0
Weissella_cibaria_KACC_11862_gal,0.5582,0,0,0,0
Actinomyces_odontolyticus_ATCC_17982_ac,0,2.3164,2.3724,0,0
Actinomyces_oris_K20_ac,0,2.9463,0,4.3929,2.157
Actinomyces_oris_K20_ppa,0,1.4752,0,2.1995,1.08
Alistipes_putredinis_DSM_17216_ac,0,1.6713,0,0,0
Alistipes_putredinis_DSM_17216_but,0,0,0,0,0
Alistipes_putredinis_DSM_17216_isobut,0,0.836,0,0,0
Alistipes_putredinis_DSM_17216_ppa,0,0.836,0,0,0
Anaerotruncus_colihominis_DSM_17241_ac,0,0.93176,0,1.3353,0
Anaerotruncus_colihominis_DSM_17241_but,0,0.93176,0,1.3353,0
Anaerotruncus_colihominis_DSM_17241_gal,0,0.38063,0,0.54547,0
Blautia_hydrogenotrophica_DSM_10507_ac,0,1.7866,0,0,0
Blautia_hydrogenotrophica_DSM_10507_gal,0,0.89328,0,0,0
Blautia_hydrogenotrophica_DSM_10507_isobut,0,0.89328,0,0,0
Clostridium_bolteae_ATCC_BAA_613_ac,0,1.1755,0,0,0
Clostridium_bolteae_ATCC_BAA_613_but,0,0,0,0,0
Clostridium_bolteae_ATCC_BAA_613_gal,0,0.58776,0,0,0
Clostridium_bolteae_ATCC_BAA_613_mantr,0,0,0,0,0
Clostridium_ramosum_VPI_0427_DSM_1402_ac,0,6.4622,0,0,0
Clostridium_ramosum_VPI_0427_DSM_1402_gal,0,2.5399,0,0,0
Clostridium_ramosum_VPI_0427_DSM_1402_mantr,0,0,0,0,0
Clostridium_ramosum_VPI_0427_DSM_1402_melib,0,0.1,0,0,0
Clostridium_scindens_ATCC_35704_ac,0,8.684,0,0,0
Clostridium_scindens_ATCC_35704_gal,0,4.342,0,0,0
Clostridium_sp_L2_50_ac,0,1.9328,0,1.9059,0.9636
Clostridium_sp_L2_50_but,0,1.9328,0,1.9059,0.9636
Clostridium_sp_L2_50_gal,0,0,0,0,0
Clostridium_sp_SS2_1_ac,0,15.0296,0,1.6878,0
Clostridium_sp_SS2_1_but,0,15.0296,0,1.6878,0
Clostridium_sp_SS2_1_gal,0,0,0,0,0
Clostridium_sp_SS2_1_melib,0,0,0,0,0
Clostridium_symbiosum_WAL_14673_ac,0,1.1868,0,0,0
Clostridium_symbiosum_WAL_14673_but,0,0.5934,0,0,0
Clostridium_symbiosum_WAL_14673_gal,0,0,0,0,0
Coprobacillus_sp_D7_ac,0,4.8998,0,0,0
Coprobacillus_sp_D7_but,0,2.4499,0,0,0
Coprobacillus_sp_D7_gal,0,1.8057,0,0,0
Coprobacillus_sp_D7_isobut,0,2.4499,0,0,0
Coprobacillus_sp_D7_mantr,0,0,0,0,0
Coprobacillus_sp_D7_melib,0,0.1,0,0,0
Coprococcus_comes_ATCC_27758_ac,0,3.9136,1.1668,4.4832,18.6024
Coprococcus_comes_ATCC_27758_but,0,3.9136,1.1668,4.4832,18.6024
Coprococcus_comes_ATCC_27758_gal,0,1.9568,0.5834,2.2416,2.3145
Coprococcus_comes_ATCC_27758_mantr,0,0,0,0,0
Coprococcus_comes_ATCC_27758_melib,0,0.1,0.1,0.1,0.1
Coprococcus_comes_ATCC_27758_ppa,0,1.9552,0.58294,2.2398,9.2939
Eggerthella_sp_1_3_56FAA_ac,0,6.6294,0,0,0
Eubacterium_biforme_DSM_3989_ac,0,11.636,1.2199,0,33.2056
Eubacterium_biforme_DSM_3989_but,0,5.818,0.60996,0,16.6028
Eubacterium_biforme_DSM_3989_gal,0,5.0943,0.60996,0,2.3145
Holdemania_filiformis_VPI_J1_31B_1_DSM_12042_ac,0,5.6288,0,1.4339,0
Holdemania_filiformis_VPI_J1_31B_1_DSM_12042_gal,0,0,0,0,0
Lachnospiraceae_bacterium_sp_5_1_63FAA_ac,0,21.2168,0,2.6934,0
Lachnospiraceae_bacterium_sp_5_1_63FAA_but,0,21.2168,0,2.6934,0
Lachnospiraceae_bacterium_sp_5_1_63FAA_gal,0,0,0,0,0
Lachnospiraceae_bacterium_sp_5_1_63FAA_melib,0,0,0,0,0
Lactobacillus_brevis_ATCC_367_ac,0,1.5855,0,0,0
Lactobacillus_brevis_ATCC_367_gal,0,0.89276,0,0,0
Lactobacillus_brevis_ATCC_367_mantr,0,0,0,0,0
Lactobacillus_brevis_ATCC_367_melib,0,0.1,0,0,0
Phascolarctobacterium_succinatutens_YIT_12067_ppa,0,0.42588,0,0.86708,0
Prevotella_brevis_ATCC_19188_ac,0,2.1415,3.2778,0,0
Prevotella_brevis_ATCC_19188_isobut,0,1.0708,1.639,0,0
Prevotella_brevis_ATCC_19188_mantr,0,0,0,0,0
Prevotella_brevis_ATCC_19188_melib,0,0.1,0.1,0,0
Prevotella_brevis_ATCC_19188_ppa,0,1.0708,1.639,0,0
Rothia_mucilaginosa_DY_18_ac,0,2.1108,3.229,0,0
Rothia_mucilaginosa_DY_18_ppa,0,0,0,0,0
Ruminococcus_lactaris_ATCC_29176_ac,0,1.8656,0,1.8286,6.6837
Ruminococcus_lactaris_ATCC_29176_but,0,0,0,0,0
Ruminococcus_lactaris_ATCC_29176_gal,0,0.8054,0,0.78942,2.3145
Streptococcus_australis_ATCC_700641_ac,0,13.4815,0,0,0
Streptococcus_australis_ATCC_700641_gal,0,5.0943,0,0,0
Streptococcus_australis_ATCC_700641_ppa,0,6.7412,0,0,0
Streptococcus_constellatus_subsp_pharyngis_SK1060_ac,0,1.3664,0,0,0
Streptococcus_constellatus_subsp_pharyngis_SK1060_gal,0,0.6832,0,0,0
Streptococcus_constellatus_subsp_pharyngis_SK1060_ppa,0,0.6832,0,0,0
Streptococcus_gordonii_str_Challis_substr_CH1_ac,0,1.6333,0,0,0
