Contig,CTR_SRR23389308,CTR_SRR23389309,CTR_SRR23389310,CTR_SRR23389311,CTR_SRR23389312,CTR_SRR23389313,CTR_SRR23389314,CTR_SRR23389315,CTR_SRR23389316,CTR_SRR23389317,CTR_SRR23389319,CTR_SRR23389320,CTR_SRR23389321,CTR_SRR23389322,CTR_SRR23389323,CTR_SRR23389324,CTR_SRR23389325,CTR_SRR23389326,CTR_SRR23389327,CTR_SRR23389328,CTR_SRR23389331,CTR_SRR23389332,CTR_SRR23389333,CTR_SRR23389334,CTR_SRR23389335,CTR_SRR23389336,CTR_SRR23389337,CTR_SRR23389339,CTR_SRR23389340,CTR_SRR23389341,CTR_SRR23389330,CTR_SRR23389342,CTR_SRR23389343,CTR_SRR23389344,CTR_SRR23389345,CTR_SRR23389346,CTR_SRR23389347,CTR_SRR23389348,CTR_SRR23389350,CTR_SRR23389262,CTR_SRR23389263,CTR_SRR23389264,CTR_SRR23389265,CTR_SRR23389266,CTR_SRR23389267,CTR_SRR23389268,CTR_SRR23389269,CTR_SRR23389270,CTR_SRR23389272,CTR_SRR23389273,CTR_SRR23389274,CTR_SRR23389275,CTR_SRR23389276,CTR_SRR23389277,CTR_SRR23389278,CTR_SRR23389279,CTR_SRR23389280,CTR_SRR23389281,CTR_SRR23389283,CTR_SRR23389284,CTR_SRR23389285,CTR_SRR23389291,CTR_SRR23389292,CTR_SRR23389293,CTR_SRR23389294,CTR_SRR23389295,CTR_SRR23389297,CTR_SRR23389298,CTR_SRR23389299,CTR_SRR23389300,CTR_SRR23389301,CTR_SRR23389302,CTR_SRR23389303,CTR_SRR23389304,CTR_SRR23389305,CTR_SRR23389306,CTR_A_461K_BV0D0,CTR_A_464S_WV0D0,CTR_A_466Y_YV0D0,CTR_A_564P_MV0D0,CTR_A_565K_UV0D0,CTR_A_661R_BV0D0,CTR_A_662W_TV0D0,CTR_A_665S_JV0D0,CTR_A_666J_PV0D0,CTR_A_465N_LV0D0
Acinetobacter_radioresistens_NIPH_2130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacillus_pleuropneumoniae_L20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomyces_cardiffensis_F0333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27182597,0,0,0,0,0,0,0,0,0
Actinomyces_georgiae_DSM_6843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomyces_graevenitzii_C83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18301223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17892833,0,0,0.3359769,0,0,0,0,0,0,0,0,0,0,0,0,0.22555573,0,0.28538543,0.2577431,0,0,0,0,0,0,0,0.2575267,0,0,0,0.38314077,0.28103203,0,0.3216946,0,0.26401836,0,0.2745823,0,0
Actinomyces_naeslundii_str_Howell_279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomyces_odontolyticus_ATCC_17982,0.25392056,0.40682882,0.6474878,0.2732511,0.16315672,0,1.0710851,0,0.36970806,0.29477507,0.30847368,0.38629693,0.82525456,0.43137026,0.31596833,0.41461968,0,0,0.91807204,0,0.2029832,0.35732833,0.6010412,0.78142583,1.5133536,0.2395091,0.28110218,0.34796754,0.9738741,0.22739838,0.22133526,0.8925317,0,0.9153799,0.17966254,0.5183329,0.80515635,0.42829207,0.35324448,0,0.35602352,0.42155156,0.29410106,0.35954505,0.6220922,0.83466494,0.3368581,0.21197641,2.78845,0.25757223,0.9737143,0.7670872,0.27297673,0.20682764,0.14158079,0.6371782,0.3808714,0.5458476,1.164427,0.5347848,0.52921456,1.3109841,0.7426696,0.9264087,1.8292277,0.3292804,0.15969928,0.40932915,0.18259019,0,0.46671665,0.9366057,1.4711535,0.2930774,0.30489436,0.5535239,15.605276,5.091271,1.1045445,2.2539473,0.42011806,1.7476795,1.3373821,2.7197773,0.8399894,0.9853579
Actinomyces_oris_K20,2.7755659,4.447007,4.085423,5.340639,16.633345,4.857111,4.266195,15.031831,23.703136,26.076704,5.7581286,13.351647,4.6235805,3.2552872,5.4657707,6.6477537,16.054947,7.3785276,3.2099416,7.911791,2.1805189,18.785967,9.821923,4.5349607,21.161983,6.8260975,11.250364,4.812052,0,13.198113,5.449175,6.3328843,4.7011294,3.301999,4.455645,8.197624,8.257123,36.22221,8.783236,3.584838,10.09467,4.2135196,17.339272,2.9527524,4.3409424,0,9.123299,16.46053,1.4836452,7.7220716,2.8361073,8.623727,21.349424,19.243649,10.282396,7.4802413,3.9032183,21.707497,7.491834,2.9164371,9.776088,3.4295137,3.0048208,4.5888267,1.5695518,4.2197614,1.9613861,9.142661,6.8715296,2.7339904,1.4989513,4.134511,4.0188446,10.483187,2.1977365,3.0221384,8.897148,5.0462766,20.614763,8.21223,4.8992367,28.428085,17.62838,14.274894,15.849129,9.103941
Actinomyces_turicensis_ACS_279_V_Col4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomyces_urogenitalis_DSM_15434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomyces_viscosus_C505,0,0,0,0,0,0,0,0,0,0,0,0,0.16793789,0.1450089,0,0.15483458,0,0,0.29447773,0,0,0,0.19578846,0.13582325,0.34376565,0,0,0,0,0,0,0,0,0.21033736,0,0,0.21618047,0,0.13841943,0,0,0,0,0,0,0,0,0,0.59021163,0,0.18804377,0,0,0,0,0,0,0,0.15227765,0.23063876,0.20306933,0.17321374,0,0.29802647,0,0,0,0.23054743,0,0,0.16136305,0.20649749,0.18391135,0.14503923,0,0,0.38066736,0.5097099,0,0,0,0.31151116,0.26797646,0.29502678,0,0
Adlercreutzia_equolifaciens_DSM_19450,0.41678235,0.3153162,0,0,0,0.27361032,0,0.6564709,0.4407757,1.0359399,1.4392316,0.795814,0,0.8047,0.61251765,0.42131743,0.4142594,0.61231875,0,0,0.38477647,1.1288536,0.77275646,0.5568132,2.4933906,1.7730671,2.219285,0,0,0,0,0,0.41487888,0,0,1.9439932,0,0,1.4093262,0,0.3373026,1.8201548,0.53248996,1.3168219,0,0,0.42327204,0.60041934,0,0.9175819,0,1.4598941,1.5871532,0.8888558,0.24677972,0,0,0.4689115,0,1.0791582,6.5885496,0,0,0.5855425,0,0,0.30029035,1.1992631,0.5961958,2.5409014,0,0,0.6189331,3.6165626,0,0,0.6347473,0,0,0.79719067,0,0.94655925,0.8856535,0.95337087,1.7170455,1.8494588
Aerococcus_viridans_ATCC_11563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aeromonas_caviae_Ae398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0930223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aeromonas_hydrophila_subsp_hydrophila_ATCC_7966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2423193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aeromonas_jandaei_Riv2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aeromonas_media_WS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aeromonas_veronii_B565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40965092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2502996,0,0,0,0,0.22322237,0,0,0,0,0,0,0,0,0,0
Afipia_birgiae_34632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aggregatibacter_aphrophilus_NJ8700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akkermansia_muciniphila_ATCC_BAA_835,0,0.57518244,0,0,0,5.9449344,29.936388,23.346521,0.18126872,0,3.1757326,1.047125,0,0,1.3595121,1.0491005,3.2860024,0,0,2.4361033,0,0.31113312,0,10.245962,0,7.1345606,0,0,44.64924,0,0,0,0.17158902,0,0,0,1.7492582,0.28258222,0.45101175,0,0.40323225,0,0,0,0.19442205,0,0,0.9541177,0,0,0,0,0,0,26.646238,1.0337988,1.9084225,0,0,0,0,0,0.514315,0.3429768,0,0,0,0.65446943,0,0,0,0,0,18.635565,0,0.42617568,0,0,0,0,0,4.5858965,0,83.73283,11.069191,0.2886192
Alcaligenes_faecalis_subsp_faecalis_NBRC_13111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcaligenes_faecalis_subsp_faecalis_NCIB_8687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alistipes_finegoldii_DSM_17242,0.54782957,0.5731408,0,0.7808394,2.5511928,0.36107177,2.235931,2.5119987,3.2512975,1.9641892,4.8947806,5.269351,2.2378714,1.5132318,1.157353,0.8448526,1.2568008,0.75103015,0,2.2899625,0,3.6793652,6.3489404,1.5898217,5.8114095,7.5371695,1.1205612,3.7389965,0,4.7937927,0,0.4294226,0.39271474,0,0.54130954,1.3971928,0.6835254,0,1.5661442,1.6557308,1.3661513,0.6346839,4.2786517,2.2736266,0,0,0,1.2699875,1.2141802,1.2887763,0,0.60264325,13.266411,2.0656946,2.580569,2.3904164,6.2946324,0.5851298,11.447348,0,1.5740159,3.0096893,2.4122722,1.1789533,0.9918213,2.3876595,0.9639968,2.4535985,0,1.7256603,0,0,1.4210278,2.0283866,0.9311932,0.88058126,1.1997325,0,0.7783813,2.7635698,8.138907,9.785761,13.354683,1.4116387,6.656736,0.7647641
Alistipes_indistinctus_YIT_12060,0.2442825,0,0.7250757,0,0.2745696,0,0.2853366,0.24269767,8.215487,0,0,3.641529,0,0,0.18885803,0.24415135,0.32044563,0,0,0,0,0.5441806,0.81193733,0,2.7098992,4.710032,0.30652496,0,0,0.33134863,0,0,0,0.2301111,0.38821262,0,0.27482554,0,0,0.36385986,0,0,0.29840004,0.3522423,0,0,0.21526727,0,0,0,0,0,0.41124508,0,0.5473781,0.26050326,0.7842745,0,0.49421582,0,0.3665765,0,0,0,0,0,0,3.399028,0.1805025,0,0,0,0,0.50523764,0,0,2.18355,0,0.26458713,0,17.461254,0.69443434,3.2875817,0.38989505,3.9991927,0
Alistipes_onderdonkii_DSM_19147,0.85669017,0.31014767,6.962223,0,1.679459,0.44550717,1.2230439,16.412945,9.219295,0.8380029,0.77329445,90.97472,1.2383833,1.5410703,0.9426124,0.6039111,0.930791,0.51314145,0,0.8582243,0,11.715401,11.618587,1.7577137,5.9536357,11.920427,0.42066628,1.5609914,0,2.660844,0,0,0.34340122,0.5075406,1.1194525,2.3399363,1.9609064,3.8536224,1.7555606,0.7573715,1.1663738,0.83034927,5.7420073,0,0,0,0,4.0726337,0,3.0395627,0,0.8429338,3.0979896,1.7340268,4.026337,2.631928,2.2932088,0.39098132,4.516787,0,1.4785326,3.784547,0.77422416,3.8256695,0,1.3505011,0.36563334,10.891632,0,1.1646436,0.1837113,0,2.8514118,2.8064513,1.8648552,1.2098984,0.76244843,0.27625802,0.44654873,1.3747796,3.9042804,4.3035736,15.176607,0.7500771,4.196558,0.38821262
Alistipes_putredinis_DSM_17216,0,0,0,0,0,0,0.5404756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18755154,0,0,0,0,0,0,0,0,0,0,0,0,2.1678813,0,0,0,0.3281057,0,0.41608334,0,0
Alistipes_shahii_WAL_8301,0.34741497,0.631771,0,0.21588619,0.78660923,0.59162056,0.7455719,1.221605,2.9646006,1.738832,0,5.140695,0,0.6628132,0.6803212,0.40976572,5.3664126,0.5431518,0,2.8587296,0,3.8239105,2.0177512,0.8045636,4.8298388,3.3289905,1.3120159,0.63597643,0,3.388161,0,0,0.41246787,0,0.5947392,0.85471153,0.41248876,0,1.1058588,0.83561707,2.0097036,0.2760953,2.173754,0,0.3382897,0,0,0.8094521,0,0.98161817,0,0.94281167,4.83054,2.0122914,3.302726,4.375248,3.1007795,0.67395866,3.046281,0.33565733,2.0141568,3.7735748,0.89419407,0.56058943,0,3.4134007,0.21719044,1.741405,0.165632,2.798937,0,0,0.30806047,5.583108,2.0814028,0.39566448,0.6724083,0,0.4571653,1.321593,5.1547375,3.102362,8.314386,0.85010284,4.2974443,0.5014785
Alloprevotella_tannerae_ATCC_51259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerobaculum_hydrogeniformans_OS1_ATCC_BAA_1850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerobiospirillum_succiniciproducens_DSM_640001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55838037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerococcus_hydrogenalis_DSM_7454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerococcus_prevotii_DSM_20548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerococcus_vaginalis_ATCC_51170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6852412,0,0,0,0,0,0,0,0,0
Anaerofustis_stercorihominis_DSM_17244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerostipes_caCCAe_DSM_14662,0,0,0,0,0,0,0.61729884,0,0,0,0,0,0.6278255,0,0,0,0,0,0,0.2661986,0,0,0,0,0.49153093,0,0,0,0.56656957,0,0,0,0,0,0,0,0,0.29898354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0878494,0,0,0.6817684,0,0,0,0
Anaerostipes_hadrus_DSM_3319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.381148,1.0531979,0,0,0,0,0,3.2450254,0,0
Anaerostipes_sp_3_2_56FAA,0,0,0,0,0,0,0.5402598,0,0,0,0,0,1.0530028,0,0,0,0,0,0.21427816,0.30463567,0,0,0,0,0,0,0,0.486195,0.5248449,0,0,0,0,0,0,0,0,0.347445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5038043,0,0,0,0,0,0,0,0,0,0,0.3410127,0,0,0,0,0,0.93915534,0,0,0.7077101,0,0,0,0
Anaerotruncus_colihominis_DSM_17241,0.71337324,0,1.1071593,0,1.0313152,0,0.9255893,0.983813,0.9445744,1.4647889,0.90395606,1.7148179,1.0944289,0,0.38183087,1.4989873,1.0234572,0.8401733,0,0,0,1.7969706,2.4177213,0.62155527,3.1769295,1.5011426,1.0755004,0.90673524,0,1.4614114,0,0,0,0,0.61400247,0.6602299,0.7761651,0.6871508,0.69202906,0.67209363,0,0,1.6062791,0,0,0,0,0.974045,0,0.6020192,0,0.4813768,1.3705574,0.5845961,1.0636675,1.3888713,0.9940036,1.0360291,1.6998377,0,2.6694334,0,0.48688892,0.9696936,0,0.79357773,0.43906152,1.7160743,0,0,0,0,0.6475937,1.173628,0.7623259,0,5.491909,0,5.136071,5.2888904,7.485467,7.6793156,6.1351104,2.7512035,3.8351538,4.022622
