,prebiotic_A_464S_WV3D21,prebiotic_A_465N_LV3D21,prebiotic_A_565K_UV3D21,prebiotic_A_662W_TV3D21,prebiotic_A_666J_PV3D21
Bifidobacterium_catenulatum_DSM_16992_gal,1.2857,0,2.2295,0,0
Bifidobacterium_catenulatum_DSM_16992_mantr,0.64284,0,1.1147,0,0
Bifidobacterium_catenulatum_DSM_16992_melib,1.2857,0,2.2295,0,0
Bifidobacterium_longum_DJO10A_ac,0.87035,1.5006,1.4786,2.2651,1.8806
Bifidobacterium_longum_DJO10A_gal,0.8704,1.5006,1.4786,2.2652,1.8807
Bifidobacterium_longum_DJO10A_mantr,0.4352,0.75032,0.73932,1.1326,0.94036
Bifidobacterium_longum_E18_ac,0.85243,1.6191,1.6663,2.8736,1.928
Bifidobacterium_longum_E18_gal,0.85248,1.6192,1.6664,2.8738,1.9282
Bifidobacterium_longum_E18_mantr,0.42624,0.8096,0.8332,1.4369,0.96408
Bifidobacterium_longum_NCC2705_ac,0.83784,2.5786,1.8598,2.3054,1.7689
Bifidobacterium_longum_NCC2705_gal,0.41892,1.2893,0.92988,1.1527,0.88444
Bifidobacterium_longum_NCC2705_mantr,0.20946,0.64464,0.46494,0.57636,0.44222
Bifidobacterium_longum_NCC2705_melib,0.41892,1.2893,0.92988,1.1527,0.88444
Bifidobacterium_longum_infantis_157F_NC_ac,1.1645,1.864,1.6769,2.9036,2.0264
Bifidobacterium_longum_infantis_157F_NC_gal,1.1645,1.864,1.6769,2.9036,2.0264
Bifidobacterium_longum_infantis_157F_NC_mantr,0.58224,0.932,0.83844,1.4518,1.0132
Bifidobacterium_longum_infantis_157F_NC_melib,0.58224,0.932,0.83844,1.4518,1.0132
Bifidobacterium_longum_longum_ATCC_55813_ac,1.025,2.0422,2.107,3.0868,2.2308
Bifidobacterium_longum_longum_ATCC_55813_gal,1.025,2.0422,2.107,3.0868,2.2308
Bifidobacterium_longum_longum_ATCC_55813_mantr,0.51252,1.0211,1.0535,1.5434,1.1154
Bifidobacterium_longum_longum_ATCC_55813_melib,0.51252,1.0211,1.0535,1.5434,1.1154
Bifidobacterium_longum_longum_BBMN68_ac,0.93154,1.8961,1.7155,2.529,2.4177
Bifidobacterium_longum_longum_BBMN68_gal,0.9316,1.8962,1.7156,2.5292,2.4178
Bifidobacterium_longum_longum_BBMN68_mantr,0.41104,0.83415,0.75492,1.1118,1.0629
Bifidobacterium_longum_longum_BBMN68_melib,0.4658,0.94812,0.8578,1.2646,1.2089
Bifidobacterium_longum_longum_CCUG_52486_ac,0.81624,1.961,1.5894,2.408,1.9639
Bifidobacterium_longum_longum_CCUG_52486_gal,0.81624,1.961,1.5894,2.408,1.9639
Bifidobacterium_longum_longum_CCUG_52486_mantr,0.40812,0.98048,0.79468,1.204,0.98196
Bifidobacterium_longum_longum_CCUG_52486_melib,0.40812,0.98048,0.79468,1.204,0.98196
Bifidobacterium_longum_longum_JCM_1217_ac,0.82299,1.5195,1.7456,2.2895,1.837
Bifidobacterium_longum_longum_JCM_1217_gal,0.82304,1.5196,1.7457,2.2896,1.8371
Bifidobacterium_longum_longum_JCM_1217_mantr,0.36342,0.66894,0.76811,1.0067,0.80822
Bifidobacterium_longum_longum_JCM_1217_melib,0.41152,0.7598,0.87284,1.1448,0.91856
Bifidobacterium_pseudocatenulatum_DSM_20438_ac,2.3592,0,12.8216,0,1.0382
Bifidobacterium_pseudocatenulatum_DSM_20438_gal,1.1796,0,6.4108,0,0.51908
Bifidobacterium_pseudocatenulatum_DSM_20438_mantr,1.1796,0,2.5543,0,0.51908
Bifidobacterium_pseudocatenulatum_DSM_20438_melib,2.3592,0,5.2086,0,1.0382
Bilophila_wadsworthia_3_1_6_ac,2.5248,0,0,0,3.126
Candidatus_Nitrososphaera_gargensis_Ga9_2_ac,0.72007,0,0,0,0.84074
Candidatus_Nitrososphaera_gargensis_Ga9_2_ppa,0,0,0,0,0
Clostridium_bolteae_ATCC_BAA_613_ac,6.9314,0,0.81592,0,0
Clostridium_bolteae_ATCC_BAA_613_but,0,0,0,0,0
Clostridium_bolteae_ATCC_BAA_613_gal,3.4657,0,0.40796,0,0
Clostridium_bolteae_ATCC_BAA_613_mantr,1.7328,0,0.20398,0,0
Clostridium_clostridioforme_CM201_ac,1.1252,0,0,0,0
Clostridium_clostridioforme_CM201_but,0,0,0,0,0
Clostridium_clostridioforme_CM201_gal,0.5626,0,0,0,0
Clostridium_clostridioforme_CM201_mantr,0.5626,0,0,0,0
Clostridium_clostridioforme_CM201_melib,1.1252,0,0,0,0
Clostridium_clostridioforme_CM201_ppa,0.5626,0,0,0,0
Clostridium_nexile_DSM_1787_ac,1.5068,1.1466,2.8812,3.5598,1.1893
Clostridium_nexile_DSM_1787_gal,0.00092617,0.00070475,0.001771,0.0021881,0.00073101
Clostridium_nexile_DSM_1787_mantr,0.00046309,0.00035237,0.00088551,0.001094,0.0003655
Clostridium_sp_SS2_1_ac,5.6964,11.3328,6.8072,0,0
Clostridium_sp_SS2_1_but,5.6964,11.3328,6.8072,0,0
Clostridium_sp_SS2_1_gal,0,0,0,0,0
Clostridium_sp_SS2_1_melib,0,0,0,0,0
Collinsella_aerofaciens_ATCC_25986_ac,41.9144,5.58,20.232,60.752,22.7384
Collinsella_aerofaciens_ATCC_25986_gal,10.2073,2.79,10.116,10.2,10.2054
Collinsella_intestinalis_DSM_13280_ac,8.8208,0,0,0.89704,0
Collinsella_intestinalis_DSM_13280_gal,3.1742,0,0,0.32281,0
Collinsella_stercoris_DSM_13279_ac,84.888,0,0,1.1159,0
Collinsella_stercoris_DSM_13279_gal,10.2073,0,0,0.55796,0
Collinsella_tanakaei_YIT_12063_ac,31.5632,0,0,0,0
Collinsella_tanakaei_YIT_12063_gal,10.2073,0,0,0,0
Collinsella_tanakaei_YIT_12063_ppa,15.7816,0,0,0,0
Coprococcus_catus_GD_7_ac,0.81816,1.9494,3.9444,2.4176,1.751
Coprococcus_catus_GD_7_but,0.81816,1.9494,3.9444,2.4176,1.751
Coprococcus_catus_GD_7_ppa,0.40908,0.97468,1.9722,1.2088,0.87552
Coprococcus_comes_ATCC_27758_ac,2.8848,3.8882,6.8414,7.8202,3.3576
Coprococcus_comes_ATCC_27758_but,2.8848,3.8882,6.8414,7.8202,3.3576
Coprococcus_comes_ATCC_27758_gal,1.4424,1.9441,3.4207,3.9101,1.6788
Coprococcus_comes_ATCC_27758_mantr,1.4424,1.9441,2.5543,2.5543,1.6788
Coprococcus_comes_ATCC_27758_melib,2.8426,3.8302,5.2086,5.2086,3.308
Coprococcus_comes_ATCC_27758_ppa,1.4413,1.9426,3.418,3.907,1.6775
Corynebacterium_ureicelerivorans_ac,2.4724,0,4.0265,0,0
Corynebacterium_ureicelerivorans_ppa,1.2363,0,2.0134,0,0
Dermacoccus_nishinomiyaensis_ac,18.6824,244.88,99.088,10.4888,22.184
Dermacoccus_nishinomiyaensis_gal,9.3412,5.2059,10.1895,5.2444,10.2054
Dermacoccus_nishinomiyaensis_ppa,18.6824,188.5074,99.088,10.4888,22.184
Dorea_formicigenerans_ATCC_27755_ac,3.4344,9.3232,9.5312,10.5096,4.2372
Dorea_formicigenerans_ATCC_27755_gal,1.7172,4.6616,4.7656,5.2548,2.1186
Dorea_formicigenerans_ATCC_27755_ppa,1.7172,4.6616,4.7656,5.2548,2.1186
Dorea_longicatena_DSM_13814_ac,12.2336,3.558,4.9824,6.782,1.8982
Dorea_longicatena_DSM_13814_but,0,0,0,0,0
Dorea_longicatena_DSM_13814_gal,6.1168,1.779,2.4912,3.391,0.94908
Dorea_longicatena_DSM_13814_mantr,2.5543,1.779,2.4912,2.5543,0.94908
Dorea_longicatena_DSM_13814_melib,5.2086,3.558,4.9824,5.2086,1.8982
Eggerthella_sp_1_3_56FAA_ac,0.8944,0,0,0,0
Escherichia_albertii_TW07627_ac,0.85784,0,0,0,0
Escherichia_albertii_TW07627_but,0.42892,0,0,0,0
Escherichia_albertii_TW07627_gal,0.42892,0,0,0,0
Escherichia_albertii_TW07627_ppa,0.85784,0,0,0,0
Escherichia_coli_O157_H7_str_Sakai_ac,15.6264,1.1981,0,0,7.9924
Escherichia_coli_O157_H7_str_Sakai_but,7.8132,0.59904,0,0,3.9962
Escherichia_coli_O157_H7_str_Sakai_gal,13.0218,1.1981,0,0,7.9924
Escherichia_coli_O157_H7_str_Sakai_mantr,2.5543,0.59904,0,0,2.5543
Escherichia_coli_O157_H7_str_Sakai_melib,5.2086,1.1981,0,0,5.2086
Escherichia_coli_O157_H7_str_Sakai_ppa,15.6264,1.1981,0,0,7.9924
Escherichia_coli_SE11_ac,19.0296,2.941,0,0,33.124
Escherichia_coli_SE11_gal,14.7234,2.941,0,0,15.414
Escherichia_coli_SE11_mantr,2.5543,1.4705,0,0,2.5543
Escherichia_coli_SE11_melib,5.2086,2.941,0,0,5.2086
Escherichia_coli_SE11_ppa,19.0296,2.941,0,0,33.124
Escherichia_coli_UTI89_UPEC_ac,10.3864,0,0,0,7.2168
Escherichia_coli_UTI89_UPEC_but,5.1932,0,0,0,3.6084
Escherichia_coli_UTI89_UPEC_gal,10.3018,0,0,0,7.2168
Escherichia_coli_UTI89_UPEC_mantr,2.5543,0,0,0,2.5543
Escherichia_coli_UTI89_UPEC_ppa,10.3864,0,0,0,7.2168
Escherichia_coli_str_K_12_substr_MG1655_ac,12.8544,3.3282,0,0,11.5464
Escherichia_coli_str_K_12_substr_MG1655_but,6.4272,1.6641,0,0,5.7732
Escherichia_coli_str_K_12_substr_MG1655_gal,11.6358,3.3282,0,0,10.9818
Escherichia_coli_str_K_12_substr_MG1655_mantr,2.5543,1.6641,0,0,2.5543
Escherichia_coli_str_K_12_substr_MG1655_melib,5.2086,3.3282,0,0,5.2086
Escherichia_coli_str_K_12_substr_MG1655_ppa,12.8544,3.3282,0,0,11.5464
Escherichia_fergusonii_ATCC_35469_ac,3.9504,0,0,0,1.3741
Escherichia_fergusonii_ATCC_35469_but,1.9752,0,0,0,0.68704
Escherichia_fergusonii_ATCC_35469_gal,1.9752,0,0,0,0.68704
Escherichia_fergusonii_ATCC_35469_ppa,3.9504,0,0,0,1.3741
Escherichia_sp_1_1_43_ac,13.9992,3.2088,0,0,11.7328
Escherichia_sp_1_1_43_gal,5.2086,1.6044,0,0,5.2086
Escherichia_sp_1_1_43_mantr,2.5543,1.6044,0,0,2.5543
Escherichia_sp_1_1_43_melib,5.2086,3.2088,0,0,5.2086
Escherichia_sp_3_2_53FAA_ac,10.6536,0,0,0,7.2202
Escherichia_sp_3_2_53FAA_but,5.3268,0,0,0,3.6101
Escherichia_sp_3_2_53FAA_gal,10.4354,0,0,0,7.2202
Escherichia_sp_3_2_53FAA_mantr,2.5543,0,0,0,2.5543
Escherichia_sp_3_2_53FAA_ppa,10.6536,0,0,0,7.2202
Escherichia_sp_4_1_40B_ac,14.4424,3.2224,0,0,12.5688
Escherichia_sp_4_1_40B_but,7.2212,1.6112,0,0,6.2844
Escherichia_sp_4_1_40B_gal,12.4298,3.2224,0,0,11.493
Escherichia_sp_4_1_40B_mantr,2.5543,1.6112,0,0,2.5543
Escherichia_sp_4_1_40B_melib,5.2086,3.2224,0,0,5.2086
Escherichia_sp_4_1_40B_ppa,14.4424,3.2224,0,0,12.5688
Eubacterium_hallii_DSM_3353_ac,1.1175,1.015,1.7802,1.2151,0
Eubacterium_hallii_DSM_3353_but,0.55876,0.50752,0.89008,0.60756,0
Eubacterium_hallii_DSM_3353_gal,0.55876,0.50752,0.89008,0.60756,0
Eubacterium_hallii_DSM_3353_melib,0,0,0,0,0
Eubacterium_rectale_ATCC_33656_ac,4.6524,4.9082,23.7248,34.8472,26.8312
Eubacterium_rectale_ATCC_33656_but,2.3262,2.4541,11.8624,17.4236,13.4156
Eubacterium_rectale_ATCC_33656_gal,2.0527,2.1652,10.1895,10.2,10.2054
Eubacterium_rectale_ATCC_33656_mantr,2.1618,2.2804,2.5543,2.5543,2.5543
Eubacterium_rectale_ATCC_33656_melib,3.4029,3.5896,5.2086,5.2086,5.2086
Eubacterium_rectale_M104_1_ac,4.5332,4.492,20.6872,33.064,25.3856
Eubacterium_rectale_M104_1_but,2.2666,2.246,10.3436,16.532,12.6928
Eubacterium_rectale_M104_1_gal,1.9986,1.9804,9.1024,10.2,10.2054
Eubacterium_rectale_M104_1_mantr,2.1049,2.0857,2.5543,2.5543,2.5543
Eubacterium_rectale_M104_1_melib,3.3129,3.2827,5.2086,5.2086,5.2086
Eubacterium_sulci_ATCC_35585_ac,4.742,0,0,0,0
Eubacterium_sulci_ATCC_35585_but,4.742,0,0,0,0
Eubacterium_sulci_ATCC_35585_ppa,2.371,0,0,0,0
Faecalibacterium_cf_prausnitzii_KLE1255_ac,1.9564,23.6896,42.112,69.7728,120.408
Faecalibacterium_cf_prausnitzii_KLE1255_but,0.9782,11.8448,21.056,34.8864,60.204
Faecalibacterium_cf_prausnitzii_KLE1255_gal,0,0,0,0,0
Faecalibacterium_prausnitzii_L2_6_ac,3.171,25.224,36.6184,47.2664,45.3168
Faecalibacterium_prausnitzii_L2_6_but,1.5855,12.612,18.3092,23.6332,22.6584
Faecalibacterium_prausnitzii_L2_6_gal,1.1933,5.2059,10.1895,10.2,10.2054
Faecalibacterium_prausnitzii_L2_6_melib,0,0,0,0,0
Faecalibacterium_prausnitzii_M21_2_ac,1.7049,10.208,24.976,25.3288,53.0704
Faecalibacterium_prausnitzii_M21_2_but,0.85244,5.104,12.488,12.6644,26.5352
Faecalibacterium_prausnitzii_M21_2_gal,0.85244,5.104,10.1895,10.2,10.2054
Faecalibacterium_prausnitzii_M21_2_mantr,0.85244,2.5543,2.5543,2.5543,2.5543
Faecalibacterium_prausnitzii_M21_2_melib,1.7049,5.2086,5.2086,5.2086,5.2086
Faecalibacterium_prausnitzii_M21_2_ppa,0.85244,5.104,12.488,12.6644,26.5352
Faecalibacterium_prausnitzii_SL3_3_ac,1.8126,9.3424,23.5696,24.204,51.5136
Faecalibacterium_prausnitzii_SL3_3_but,0.90628,4.6712,11.7848,12.102,25.7568
Faecalibacterium_prausnitzii_SL3_3_gal,0.90628,4.6712,10.1895,10.2,10.2054
Faecalibacterium_prausnitzii_SL3_3_mantr,0.90628,2.5543,2.5543,2.5543,2.5543
Faecalibacterium_prausnitzii_SL3_3_melib,1.6143,5.2086,5.2086,5.2086,5.2086
Faecalibacterium_prausnitzii_SL3_3_ppa,0.90628,4.6712,11.7848,12.102,25.7568
Lachnospiraceae_bacterium_sp_5_1_63FAA_ac,4.788,9.9472,6.3398,0,0
Lachnospiraceae_bacterium_sp_5_1_63FAA_but,4.788,9.9472,6.3398,0,0
Lachnospiraceae_bacterium_sp_5_1_63FAA_gal,0,0,0,0,0
Lachnospiraceae_bacterium_sp_5_1_63FAA_melib,0,0,0,0,0
Lachnospiraceae_bacterium_sp_8_1_57FAA_ac,0.82336,0,1.8942,1.455,1.0025
Lachnospiraceae_bacterium_sp_8_1_57FAA_gal,0,0,0,0,0
Lactobacillus_mucosae_LM1_ac,4.746,0,0,0,0
Lactobacillus_mucosae_LM1_gal,4.746,0,0,0,0
Lactobacillus_mucosae_LM1_mantr,2.373,0,0,0,0
Lactobacillus_mucosae_LM1_ppa,0,0,0,0,0
Megasphaera_elsdenii_DSM_20460_ac,15.2904,0,7.227,0,0
Megasphaera_elsdenii_DSM_20460_but,7.6452,0,3.6135,0,0
Megasphaera_elsdenii_DSM_20460_gal,0,0,0,0,0
Megasphaera_elsdenii_DSM_20460_isobut,7.6452,0,3.6135,0,0
Megasphaera_elsdenii_DSM_20460_melib,0,0,0,0,0
Megasphaera_elsdenii_DSM_20460_ppa,7.6452,0,3.6135,0,0
Phascolarctobacterium_succinatutens_YIT_12067_ppa,0.5096,0,0.54692,3.4334,0
Prevotella_brevis_ATCC_19188_ac,17.7549,0.99858,0,0,0
Prevotella_brevis_ATCC_19188_isobut,8.878,0.49932,0,0,0
Prevotella_brevis_ATCC_19188_mantr,2.5543,0.24966,0,0,0
Prevotella_brevis_ATCC_19188_melib,2.6543,0.49932,0,0,0
Prevotella_brevis_ATCC_19188_ppa,8.878,0.49932,0,0,0
Roseburia_inulinivorans_DSM_16841_ac,4.0294,6.026,9.4288,37.512,8.544
Roseburia_inulinivorans_DSM_16841_but,2.0147,3.013,4.7144,18.756,4.272
Roseburia_inulinivorans_DSM_16841_gal,0,0,0,0,0
Roseburia_inulinivorans_DSM_16841_melib,0,0,0,0,0
Roseburia_inulinivorans_DSM_16841_ppa,2.0147,3.013,4.7144,18.756,4.272
Rothia_dentocariosa_ATCC_17931_ac,0.87528,0,0,0,0
Rothia_dentocariosa_ATCC_17931_ppa,0,0,0,0,0
Rothia_mucilaginosa_DY_18_ac,17.5512,0.98456,0,0,0
Rothia_mucilaginosa_DY_18_ppa,0,0,0,0,0
Ruminococcaceae_bacterium_D16_ac,1.4565,1.5671,5.7532,5.6508,3.896
Ruminococcaceae_bacterium_D16_but,1.4565,1.5671,5.7532,5.6508,3.896
Ruminococcaceae_bacterium_D16_gal,0,0,0,0,0
Ruminococcus_gnavus_ATCC_29149_ac,10.0969,0,1.5278,1.3916,0
Ruminococcus_gnavus_ATCC_29149_but,4.0387,0,0.61111,0.55662,0
Ruminococcus_gnavus_ATCC_29149_gal,10.0488,0,1.5279,1.3917,0
Ruminococcus_gnavus_ATCC_29149_mantr,2.5543,0,0.76396,0.69584,0
Ruminococcus_gnavus_ATCC_29149_melib,5.2086,0,1.3593,1.2486,0
Ruminococcus_gnavus_ATCC_29149_ppa,5.0452,0,0.76342,0.69584,0
Ruminococcus_obeum_A2_162_ac,1.5305,2.1558,4.5392,4.5534,1.8071
Ruminococcus_obeum_A2_162_but,0,0,0,0,0
Ruminococcus_obeum_A2_162_mantr,0.29806,0.42866,0.884,0.90543,0.35934
Ruminococcus_obeum_A2_162_ppa,0.76524,1.0779,2.2696,2.2767,0.90356
Ruminococcus_sp_5_1_39BFAA_ac,11.396,2.504,4.8376,6.5722,1.7544
Ruminococcus_sp_SR1_5_ac,6.2116,1.4701,5.112,2.3362,1.123
Ruminococcus_sp_SR1_5_ppa,3.1058,0.73504,2.556,1.1681,0.56148
Ruminococcus_torques_L2_14_ac,11.1848,8.2048,5.8368,5.1952,3.6484
Ruminococcus_torques_L2_14_but,0,0,0,0,0
Ruminococcus_torques_L2_14_gal,5.4216,4.005,2.8292,2.5359,1.7809
Ruminococcus_torques_L2_14_mantr,2.5543,2.5543,2.5543,2.5543,1.8242
Ruminococcus_torques_L2_14_melib,5.2086,4.8264,4.1704,3.9929,2.8345
Ruminococcus_torques_L2_14_ppa,5.5924,4.1024,2.9184,2.5976,1.8242
Slackia_piriformis_YIT_12062_ac,1.168,0,0,1.7688,0
Staphylococcus_capitis_CR0101_ac,1.1404,0,0,0,0
Staphylococcus_capitis_CR0101_gal,0,0,0,0,0
Staphylococcus_capitis_CR0101_ppa,0,0,0,0,0
Streptococcus_australis_ATCC_700641_ac,6.2235,1.1121,0,2.6944,0
Streptococcus_australis_ATCC_700641_gal,3.112,0.55608,0,1.3473,0
Streptococcus_australis_ATCC_700641_ppa,3.112,0.55608,0,1.3473,0
Streptococcus_constellatus_subsp_pharyngis_SK1060_ac,0.95176,0,0,0,0
Streptococcus_constellatus_subsp_pharyngis_SK1060_gal,0.47588,0,0,0,0
Streptococcus_constellatus_subsp_pharyngis_SK1060_ppa,0.47588,0,0,0,0
Streptococcus_gallolyticus_subsp_gallolyticus_ATCC_43143_ac,1.7084,1.9744,0,0,0
Streptococcus_gallolyticus_subsp_gallolyticus_ATCC_43143_gal,0.8542,0.9872,0,0,0
Streptococcus_gallolyticus_subsp_gallolyticus_ATCC_43143_ppa,0.8542,0.9872,0,0,0
Streptococcus_infantis_ATCC_700779_ac,2.4792,0,0,0,0
Streptococcus_infantis_ATCC_700779_gal,1.2396,0,0,0,0
Streptococcus_infantis_ATCC_700779_ppa,1.2396,0,0,0,0
Streptococcus_mitis_NCTC_12261_ac,1.3735,0,0,0,0
Streptococcus_mitis_NCTC_12261_gal,0.68676,0,0,0,0
Streptococcus_mitis_NCTC_12261_mantr,0.34338,0,0,0,0
Streptococcus_mitis_NCTC_12261_ppa,0.68676,0,0,0,0
Streptococcus_oralis_Uo5_ac,1.9192,0,0,0,0
Streptococcus_oralis_Uo5_gal,0.9596,0,0,0,0
Streptococcus_oralis_Uo5_mantr,0.4798,0,0,0,0
Streptococcus_oralis_Uo5_ppa,0.9596,0,0,0,0
Streptococcus_parasanguinis_ATCC_903_ac,85.9621,13.4471,0,2.109,0
Streptococcus_parasanguinis_ATCC_903_gal,10.2073,5.2059,0,1.0546,0
Streptococcus_parasanguinis_ATCC_903_mantr,2.5543,2.5543,0,0.52728,0
Streptococcus_parasanguinis_ATCC_903_ppa,42.984,6.724,0,1.0546,0
Streptococcus_peroris_ATCC_700780_ac,0.97224,0,0,0,0
Streptococcus_peroris_ATCC_700780_gal,0.48612,0,0,0,0
Streptococcus_peroris_ATCC_700780_ppa,0.48612,0,0,0,0
Streptococcus_salivarius_JIM8777_ac,61.3904,31.588,0,6.629,0
Streptococcus_salivarius_JIM8777_ppa,30.6952,15.794,0,3.3145,0
Streptococcus_sp_2_1_36FAA_ac,0.90383,0,0,0,0
Streptococcus_sp_2_1_36FAA_gal,0.452,0,0,0,0
Streptococcus_sp_I_G2_ac,3.7915,0,0,1.3789,0
Streptococcus_sp_I_G2_gal,1.8959,0,0,0.68952,0
Streptococcus_sp_I_G2_mantr,0.83325,0,0,0.30346,0
Streptococcus_sp_I_P16_ac,4.8254,0.93432,0,1.3492,0
Streptococcus_sp_I_P16_mantr,1.0601,0.20578,0,0.29686,0
Streptococcus_thermophilus_LMG_18311_ac,7.1668,2.2561,0,0,0
Streptococcus_vestibularis_F0396_ac,14.2912,5.641,0,1.2087,0
Streptococcus_vestibularis_F0396_gal,7.1456,2.8205,0,0.60436,0
Streptococcus_vestibularis_F0396_ppa,7.1456,2.8205,0,0.60436,0
Subdoligranulum_variabile_DSM_15176_ac,3.9972,4.7872,8.292,7.0688,5.6696
Subdoligranulum_variabile_DSM_15176_but,3.9972,4.7872,8.292,7.0688,5.6696
Subdoligranulum_variabile_DSM_15176_gal,1.9986,2.3936,4.146,3.5344,2.8348
Subdoligranulum_variabile_DSM_15176_mantr,1.9986,2.3936,2.5543,2.5543,2.5543
Subdoligranulum_variabile_DSM_15176_melib,3.5558,4.2583,5.2086,5.2086,4.7624
Bacteroides_pectinophilus_ATCC_43243_ac,0,1.2755,1.9585,2.137,0
Bacteroides_pectinophilus_ATCC_43243_ppa,0,0.6378,0.97932,1.0686,0
Bifidobacterium_longum_longum_JDM301_ac,0,1.1411,0.96922,1.3798,1.0022
Bifidobacterium_longum_longum_JDM301_gal,0,1.1412,0.96928,1.3798,1.0022
Bifidobacterium_longum_longum_JDM301_mantr,0,0.49371,0.41964,0.59653,0.43384
Bifidobacterium_longum_longum_JDM301_melib,0,0.5706,0.48464,0.68992,0.50112
Blautia_hansenii_VPI_C7_24_DSM_20583_ac,0,0.8888,1.9169,1.4509,1.0215
Blautia_hansenii_VPI_C7_24_DSM_20583_gal,0,0.4444,0.95844,0.72544,0.51076
Blautia_hansenii_VPI_C7_24_DSM_20583_mantr,0,0.4444,0.95844,0.72544,0.51076
Blautia_hansenii_VPI_C7_24_DSM_20583_melib,0,0.75131,1.6166,1.2244,0.86301
Butyrivibrio_crossotus_DSM_2876_ac,0,0.89672,1.1769,1.1822,0
Butyrivibrio_crossotus_DSM_2876_but,0,0.89672,1.1769,1.1822,0
Butyrivibrio_crossotus_DSM_2876_gal,0,0.14954,0.19042,0.19098,0
Clostridium_sp_L2_50_ac,0,2.8852,1.729,1.7622,1.401
Clostridium_sp_L2_50_but,0,2.8852,1.729,1.7622,1.401
Clostridium_sp_L2_50_gal,0,0,0,0,0
Clostridium_sp_M62_1_ac,0,1.3673,2.474,4.2254,2.5202
Clostridium_sp_M62_1_but,0,0.68364,1.237,2.1127,1.2601
Clostridium_sp_M62_1_gal,0,0.00084042,0.0015207,0.0025972,0.0015491
Clostridium_sp_M62_1_mantr,0,0.00042021,0.00076034,0.0012986,0.00077455
Eubacterium_biforme_DSM_3989_ac,0,21.8232,57.8984,88.088,3.8166
Eubacterium_biforme_DSM_3989_but,0,10.9116,28.9492,44.044,1.9083
Eubacterium_biforme_DSM_3989_gal,0,5.2059,10.1895,10.2,1.9083
Eubacterium_eligens_ATCC_27750_ac,0,6.906,3.2362,1.7022,2.052
Eubacterium_eligens_ATCC_27750_gal,0,3.453,1.6181,0.85112,1.026
Eubacterium_eligens_ATCC_27750_melib,0,0,0,0,0
Eubacterium_eligens_ATCC_27750_ppa,0,3.453,1.6181,0.85112,1.026
