,prebiotic_A_464S_WV3D21,prebiotic_A_465N_LV3D21,prebiotic_A_565K_UV3D21,prebiotic_A_662W_TV3D21,prebiotic_A_666J_PV3D21
Coprococcus_catus_GD_7_ac,0.40908,0.97468,1.9722,1.2088,0.87552
Coprococcus_catus_GD_7_but,0.40908,0.97468,1.9722,1.2088,0.87552
Coprococcus_comes_ATCC_27758_ac,1.4424,1.9441,3.4207,3.9101,1.6788
Coprococcus_comes_ATCC_27758_but,1.4424,1.9441,3.4207,3.9101,1.6788
Coprococcus_comes_ATCC_27758_gal,1.4424,1.9441,3.4207,3.9101,1.6788
Coprococcus_comes_ATCC_27758_mantr,1.4424,1.9441,2.5543,2.5543,1.6788
Coprococcus_comes_ATCC_27758_melib,1.4002,1.8861,2.6543,2.6543,1.6292
Corynebacterium_ureicelerivorans_ac,1.2361,0,2.0131,0,0
Dermacoccus_nishinomiyaensis_ac,9.3412,122.44,49.544,5.2444,11.092
Dermacoccus_nishinomiyaensis_gal,9.3412,5.2059,10.1895,5.2444,10.2054
Dermacoccus_nishinomiyaensis_ppa,9.3412,66.0674,49.544,5.2444,11.092
Dorea_formicigenerans_ATCC_27755_ac,1.7172,4.6616,4.7656,5.2548,2.1186
Dorea_formicigenerans_ATCC_27755_gal,1.7172,4.6616,4.7656,5.2548,2.1186
Dorea_longicatena_DSM_13814_ac,6.1168,1.779,2.4912,3.391,0.94908
Dorea_longicatena_DSM_13814_gal,6.1168,1.779,2.4912,3.391,0.94908
Dorea_longicatena_DSM_13814_mantr,2.5543,1.779,2.4912,2.5543,0.94908
Dorea_longicatena_DSM_13814_melib,2.6543,1.779,2.4912,2.6543,0.94908
Eggerthella_sp_1_3_56FAA_ac,0.4472,0,0,0,0
Escherichia_albertii_TW07627_ac,0.42892,0,0,0,0
Escherichia_albertii_TW07627_but,0.42892,0,0,0,0
Escherichia_albertii_TW07627_gal,0.42892,0,0,0,0
Escherichia_albertii_TW07627_ppa,0.42892,0,0,0,0
Escherichia_coli_O157_H7_str_Sakai_ac,7.8132,0.59904,0,0,3.9962
Escherichia_coli_O157_H7_str_Sakai_but,7.8132,0.59904,0,0,3.9962
Escherichia_coli_O157_H7_str_Sakai_gal,7.8132,0.59904,0,0,3.9962
Escherichia_coli_O157_H7_str_Sakai_mantr,2.5543,0.59904,0,0,2.5543
Escherichia_coli_O157_H7_str_Sakai_melib,2.6543,0.59904,0,0,2.6543
Escherichia_coli_O157_H7_str_Sakai_ppa,7.8132,0.59904,0,0,3.9962
Escherichia_coli_SE11_ac,9.5148,1.4705,0,0,16.562
Escherichia_coli_SE11_gal,9.5148,1.4705,0,0,10.2054
Escherichia_coli_SE11_mantr,2.5543,1.4705,0,0,2.5543
Escherichia_coli_SE11_melib,2.6543,1.4705,0,0,2.6543
Escherichia_coli_SE11_ppa,9.5148,1.4705,0,0,16.562
Escherichia_coli_UTI89_UPEC_ac,5.1932,0,0,0,3.6084
Escherichia_coli_UTI89_UPEC_but,5.1932,0,0,0,3.6084
Escherichia_coli_UTI89_UPEC_gal,5.1932,0,0,0,3.6084
Escherichia_coli_UTI89_UPEC_mantr,2.5543,0,0,0,2.5543
Escherichia_coli_UTI89_UPEC_ppa,5.1932,0,0,0,3.6084
Escherichia_coli_str_K_12_substr_MG1655_ac,6.4272,1.6641,0,0,5.7732
Escherichia_coli_str_K_12_substr_MG1655_but,6.4272,1.6641,0,0,5.7732
Escherichia_coli_str_K_12_substr_MG1655_gal,6.4272,1.6641,0,0,5.7732
Escherichia_coli_str_K_12_substr_MG1655_mantr,2.5543,1.6641,0,0,2.5543
Escherichia_coli_str_K_12_substr_MG1655_melib,2.6543,1.6641,0,0,2.6543
Escherichia_coli_str_K_12_substr_MG1655_ppa,6.4272,1.6641,0,0,5.7732
Escherichia_fergusonii_ATCC_35469_ac,1.9752,0,0,0,0.68704
Escherichia_fergusonii_ATCC_35469_but,1.9752,0,0,0,0.68704
Escherichia_fergusonii_ATCC_35469_gal,1.9752,0,0,0,0.68704
Escherichia_fergusonii_ATCC_35469_ppa,1.9752,0,0,0,0.68704
Escherichia_sp_1_1_43_ac,6.9996,1.6044,0,0,5.8664
Escherichia_sp_1_1_43_mantr,2.5543,1.6044,0,0,2.5543
Escherichia_sp_1_1_43_melib,2.6543,1.6044,0,0,2.6543
Escherichia_sp_3_2_53FAA_ac,5.3268,0,0,0,3.6101
Escherichia_sp_3_2_53FAA_but,5.3268,0,0,0,3.6101
Escherichia_sp_3_2_53FAA_gal,5.3268,0,0,0,3.6101
Escherichia_sp_3_2_53FAA_mantr,2.5543,0,0,0,2.5543
Escherichia_sp_3_2_53FAA_ppa,5.3268,0,0,0,3.6101
Escherichia_sp_4_1_40B_ac,7.2212,1.6112,0,0,6.2844
Escherichia_sp_4_1_40B_but,7.2212,1.6112,0,0,6.2844
Escherichia_sp_4_1_40B_gal,7.2212,1.6112,0,0,6.2844
Escherichia_sp_4_1_40B_mantr,2.5543,1.6112,0,0,2.5543
Escherichia_sp_4_1_40B_melib,2.6543,1.6112,0,0,2.6543
Escherichia_sp_4_1_40B_ppa,7.2212,1.6112,0,0,6.2844
Eubacterium_hallii_DSM_3353_ac,0.55876,0.50752,0.89008,0.60756,0
Eubacterium_hallii_DSM_3353_gal,0.55876,0.50752,0.89008,0.60756,0
Eubacterium_rectale_ATCC_33656_ac,2.3262,2.4541,11.8624,17.4236,13.4156
Eubacterium_rectale_ATCC_33656_gal,2.0527,2.1652,10.1895,10.2,10.2054
Eubacterium_rectale_ATCC_33656_mantr,2.1618,2.2804,2.5543,2.5543,2.5543
Eubacterium_rectale_ATCC_33656_melib,1.2411,1.3092,2.6543,2.6543,2.6543
Eubacterium_rectale_M104_1_ac,2.2666,2.246,10.3436,16.532,12.6928
Eubacterium_rectale_M104_1_gal,1.9986,1.9804,9.1024,10.2,10.2054
Eubacterium_rectale_M104_1_mantr,2.1049,2.0857,2.5543,2.5543,2.5543
Eubacterium_rectale_M104_1_melib,1.208,1.197,2.6543,2.6543,2.6543
Eubacterium_sulci_ATCC_35585_ac,2.371,0,0,0,0
Eubacterium_sulci_ATCC_35585_but,2.371,0,0,0,0
Faecalibacterium_cf_prausnitzii_KLE1255_ac,0.9782,11.8448,21.056,34.8864,60.204
Faecalibacterium_prausnitzii_L2_6_ac,1.5855,12.612,18.3092,23.6332,22.6584
Faecalibacterium_prausnitzii_L2_6_gal,1.1933,5.2059,10.1895,10.2,10.2054
Faecalibacterium_prausnitzii_M21_2_ac,0.85244,5.104,12.488,12.6644,26.5352
Faecalibacterium_prausnitzii_M21_2_gal,0.85244,5.104,10.1895,10.2,10.2054
Faecalibacterium_prausnitzii_M21_2_mantr,0.85244,2.5543,2.5543,2.5543,2.5543
Faecalibacterium_prausnitzii_M21_2_melib,0.85244,2.6543,2.6543,2.6543,2.6543
Faecalibacterium_prausnitzii_SL3_3_ac,0.90628,4.6712,11.7848,12.102,25.7568
Faecalibacterium_prausnitzii_SL3_3_gal,0.90628,4.6712,10.1895,10.2,10.2054
Faecalibacterium_prausnitzii_SL3_3_mantr,0.90628,2.5543,2.5543,2.5543,2.5543
Faecalibacterium_prausnitzii_SL3_3_melib,0.70802,2.6543,2.6543,2.6543,2.6543
Lachnospiraceae_bacterium_sp_5_1_63FAA_ac,2.394,4.9736,3.1699,0,0
Lachnospiraceae_bacterium_sp_5_1_63FAA_but,2.394,4.9736,3.1699,0,0
Lachnospiraceae_bacterium_sp_8_1_57FAA_ac,0.41168,0,0.94712,0.72752,0.50124
Lactobacillus_mucosae_LM1_ac,2.373,0,0,0,0
Lactobacillus_mucosae_LM1_gal,2.373,0,0,0,0
Lactobacillus_mucosae_LM1_mantr,2.373,0,0,0,0
Megasphaera_elsdenii_DSM_20460_ac,7.6452,0,3.6135,0,0
Prevotella_brevis_ATCC_19188_ac,8.8769,0.49926,0,0,0
Prevotella_brevis_ATCC_19188_mantr,2.5543,0.24966,0,0,0
Prevotella_brevis_ATCC_19188_melib,2.6543,0.49932,0,0,0
Roseburia_inulinivorans_DSM_16841_ac,2.0147,3.013,4.7144,18.756,4.272
Rothia_dentocariosa_ATCC_17931_ac,0.43764,0,0,0,0
Rothia_mucilaginosa_DY_18_ac,8.7756,0.49228,0,0,0
Ruminococcaceae_bacterium_D16_ac,0.72824,0.78356,2.8766,2.8254,1.948
Ruminococcaceae_bacterium_D16_but,0.72824,0.78356,2.8766,2.8254,1.948
Ruminococcus_gnavus_ATCC_29149_ac,5.0481,0,0.76385,0.69574,0
Ruminococcus_gnavus_ATCC_29149_but,4.0387,0,0.61111,0.55662,0
Ruminococcus_gnavus_ATCC_29149_gal,5.0488,0,0.76396,0.69584,0
Ruminococcus_gnavus_ATCC_29149_mantr,2.5543,0,0.76396,0.69584,0
Ruminococcus_gnavus_ATCC_29149_melib,2.6543,0,0.59538,0.55273,0
Ruminococcus_obeum_A2_162_ac,0.76524,1.0779,2.2696,2.2767,0.90356
Ruminococcus_obeum_A2_162_mantr,0.29806,0.42866,0.884,0.90543,0.35934
Ruminococcus_sp_5_1_39BFAA_ac,5.698,1.252,2.4188,3.2861,0.8772
Ruminococcus_sp_SR1_5_ac,3.1058,0.73504,2.556,1.1681,0.56148
Ruminococcus_torques_L2_14_ac,5.5924,4.1024,2.9184,2.5976,1.8242
Ruminococcus_torques_L2_14_gal,5.4216,4.005,2.8292,2.5359,1.7809
Ruminococcus_torques_L2_14_mantr,2.5543,2.5543,2.5543,2.5543,1.8242
Ruminococcus_torques_L2_14_melib,2.6543,2.2721,1.6161,1.4386,1.0103
Slackia_piriformis_YIT_12062_ac,0.47691,0,0,0.73114,0
Staphylococcus_capitis_CR0101_ac,0.5702,0,0,0,0
Streptococcus_australis_ATCC_700641_ac,3.1115,0.556,0,1.3471,0
Streptococcus_australis_ATCC_700641_gal,3.112,0.55608,0,1.3473,0
Streptococcus_constellatus_subsp_pharyngis_SK1060_ac,0.47588,0,0,0,0
Streptococcus_constellatus_subsp_pharyngis_SK1060_gal,0.47588,0,0,0,0
Streptococcus_gallolyticus_subsp_gallolyticus_ATCC_43143_ac,0.8542,0.9872,0,0,0
Streptococcus_gallolyticus_subsp_gallolyticus_ATCC_43143_gal,0.8542,0.9872,0,0,0
Streptococcus_infantis_ATCC_700779_ac,1.2396,0,0,0,0
Streptococcus_infantis_ATCC_700779_gal,1.2396,0,0,0,0
Streptococcus_mitis_NCTC_12261_ac,0.68676,0,0,0,0
Streptococcus_mitis_NCTC_12261_gal,0.68676,0,0,0,0
Streptococcus_mitis_NCTC_12261_mantr,0.34338,0,0,0,0
Streptococcus_oralis_Uo5_ac,0.9596,0,0,0,0
Streptococcus_oralis_Uo5_gal,0.9596,0,0,0,0
Streptococcus_oralis_Uo5_mantr,0.4798,0,0,0,0
Streptococcus_parasanguinis_ATCC_903_ac,42.9781,6.7231,0,1.0544,0
Streptococcus_parasanguinis_ATCC_903_gal,10.2073,5.2059,0,1.0546,0
Streptococcus_parasanguinis_ATCC_903_mantr,2.5543,2.5543,0,0.52728,0
Streptococcus_peroris_ATCC_700780_ac,0.48612,0,0,0,0
Streptococcus_peroris_ATCC_700780_gal,0.48612,0,0,0,0
Streptococcus_salivarius_JIM8777_ac,30.6952,15.794,0,3.3145,0
Streptococcus_sp_2_1_36FAA_ac,0.45183,0,0,0,0
Streptococcus_sp_2_1_36FAA_gal,0.452,0,0,0,0
Streptococcus_sp_I_G2_ac,1.8956,0,0,0.68941,0
Streptococcus_sp_I_G2_gal,1.8959,0,0,0.68952,0
Streptococcus_sp_I_G2_mantr,0.83325,0,0,0.30346,0
Streptococcus_sp_I_P16_ac,2.4125,0.46712,0,0.67453,0
Streptococcus_sp_I_P16_mantr,1.0601,0.20578,0,0.29686,0
Streptococcus_thermophilus_LMG_18311_ac,3.583,1.1279,0,0,0
Streptococcus_vestibularis_F0396_ac,7.1456,2.8205,0,0.60436,0
Streptococcus_vestibularis_F0396_gal,7.1456,2.8205,0,0.60436,0
Subdoligranulum_variabile_DSM_15176_ac,1.9986,2.3936,4.146,3.5344,2.8348
Subdoligranulum_variabile_DSM_15176_but,1.9986,2.3936,4.146,3.5344,2.8348
Subdoligranulum_variabile_DSM_15176_gal,1.9986,2.3936,4.146,3.5344,2.8348
Subdoligranulum_variabile_DSM_15176_mantr,1.9986,2.3936,2.5543,2.5543,2.5543
Subdoligranulum_variabile_DSM_15176_melib,1.5572,1.8647,2.6543,2.6543,2.2081
Bacteroides_pectinophilus_ATCC_43243_ac,0,0.63771,0.97918,1.0684,0
Bifidobacterium_longum_longum_JDM301_ac,0,0.57053,0.48458,0.68983,0.50106
Bifidobacterium_longum_longum_JDM301_gal,0,0.5706,0.48464,0.68992,0.50112
Bifidobacterium_longum_longum_JDM301_mantr,0,0.49371,0.41964,0.59653,0.43384
Bifidobacterium_longum_longum_JDM301_melib,0,0.5706,0.48464,0.68992,0.50112
Blautia_hansenii_VPI_C7_24_DSM_20583_ac,0,0.4444,0.95844,0.72544,0.51076
Blautia_hansenii_VPI_C7_24_DSM_20583_gal,0,0.4444,0.95844,0.72544,0.51076
Blautia_hansenii_VPI_C7_24_DSM_20583_mantr,0,0.4444,0.95844,0.72544,0.51076
Blautia_hansenii_VPI_C7_24_DSM_20583_melib,0,0.30691,0.65817,0.49895,0.35225
Butyrivibrio_crossotus_DSM_2876_ac,0,0.44836,0.58844,0.59108,0
Butyrivibrio_crossotus_DSM_2876_but,0,0.44836,0.58844,0.59108,0
Butyrivibrio_crossotus_DSM_2876_gal,0,0.15009,0.19114,0.19171,0
Clostridium_sp_L2_50_ac,0,1.4426,0.86452,0.88108,0.70052
Clostridium_sp_L2_50_but,0,1.4426,0.86452,0.88108,0.70052
Clostridium_sp_M62_1_ac,0,0.68364,1.237,2.1127,1.2601
Clostridium_sp_M62_1_gal,0,0.00084042,0.0015207,0.0025972,0.0015491
Clostridium_sp_M62_1_mantr,0,0.00042021,0.00076034,0.0012986,0.00077455
Eubacterium_biforme_DSM_3989_ac,0,10.9116,28.9492,44.044,1.9083
Eubacterium_biforme_DSM_3989_gal,0,5.2059,10.1895,10.2,1.9083
Eubacterium_eligens_ATCC_27750_ac,0,3.453,1.6181,0.85112,1.026
Eubacterium_eligens_ATCC_27750_gal,0,3.453,1.6181,0.85112,1.026
Eubacterium_siraeum_70_3_ac,0,0.646,0.90476,0.57064,0.54852
Eubacterium_siraeum_DSM_15702_ac,0,0.51572,0,0.48932,0.458
Eubacterium_ventriosum_ATCC_27560_ac,0,0.52356,4.0904,1.7787,0.41264
Eubacterium_ventriosum_ATCC_27560_but,0,0.51856,4.0502,1.7617,0.4087
Eubacterium_ventriosum_ATCC_27560_gal,0,0.00064363,0.0050284,0.0021866,0.00050727
Haemophilus_parainfluenzae_T3T1_ac,0,1.0747,0,0,0
Haemophilus_parainfluenzae_T3T1_gal,0,1.0748,0,0,0
Klebsiella_pneumoniae_pneumoniae_MGH78578_ac,0,11.782,0,9.4632,43.148
Klebsiella_pneumoniae_pneumoniae_MGH78578_gal,0,5.2059,0,9.4632,10.2054
Klebsiella_pneumoniae_pneumoniae_MGH78578_mantr,0,2.5543,0,2.5543,2.5543
Klebsiella_pneumoniae_pneumoniae_MGH78578_melib,0,2.6543,0,2.6543,2.6543
Klebsiella_sp_1_1_55_ac,0,0.99476,0,2.1352,11.5328
Klebsiella_sp_1_1_55_gal,0,0.99476,0,2.1352,10.2054
Klebsiella_sp_1_1_55_mantr,0,0.99476,0,2.1352,2.5543
Klebsiella_sp_1_1_55_melib,0,0.99476,0,2.1352,2.6543
Methanobrevibacter_smithii_ATCC_35061_ac,0,1.2155,0,0,0
Roseburia_intestinalis_L1_82_ac,0,0.83508,1.2479,1.3841,0.75236
Roseburia_intestinalis_L1_82_gal,0,0.83508,1.2479,1.3841,0.75236
Roseburia_intestinalis_L1_82_mantr,0,0.83508,1.2479,1.3841,0.75236
Roseburia_intestinalis_L1_82_melib,0,0.62307,0.92985,1.0311,0.5616
Ruminococcus_bromii_L2_63_ac,0,15.556,0.85832,21.632,1.0042
Ruminococcus_chamellensis_18P13_ac,0,0.4368,0.86472,0.62032,0
Ruminococcus_chamellensis_18P13_gal,0,0.13572,0.26519,0.19124,0
Ruminococcus_chamellensis_18P13_mantr,0,0.073081,0.14279,0.10298,0
Ruminococcus_lactaris_ATCC_29176_ac,0,0.52013,1.9043,1.0089,1.0304
Ruminococcus_lactaris_ATCC_29176_gal,0,0.54357,1.8047,1.0544,1.0768
Streptococcus_infantarius_subsp_infantarius_ATCC_BAA_102_ac,0,0.57523,0,0,0
Streptococcus_infantarius_subsp_infantarius_ATCC_BAA_102_gal,0,0.57536,0,0,0
Streptococcus_infantarius_subsp_infantarius_ATCC_BAA_102_mantr,0,0.23265,0,0,0
Streptococcus_infantarius_subsp_infantarius_ATCC_BAA_102_melib,0,0.33612,0,0,0
Weissella_confusa_LBAE_C39_2_ac,0,1.1196,0,0,0
Weissella_confusa_LBAE_C39_2_gal,0,1.1196,0,0,0
Akkermansia_muciniphila_ATCC_BAA_835_ac,0,0,7.0633,0,6.2923
Alistipes_finegoldii_DSM_17242_ac,0,0,2.0519,0,0
Alistipes_finegoldii_DSM_17242_mantr,0,0,1.0261,0,0
Alistipes_indistinctus_YIT_12060_ac,0,0,0.70972,0,0
Alistipes_onderdonkii_DSM_19147_ac,0,0,0.0076174,0.0054971,0
Alistipes_onderdonkii_DSM_19147_mantr,0,0,0.4582,0.33066,0
Alistipes_shahii_WAL_8301_ac,0,0,0.003928,0,0
Alistipes_shahii_WAL_8301_mantr,0,0,0.52102,0,0
Anaerotruncus_colihominis_DSM_17241_ac,0,0,2.5516,0.92128,0.44512
Anaerotruncus_colihominis_DSM_17241_but,0,0,2.5516,0.92128,0.44512
Anaerotruncus_colihominis_DSM_17241_gal,0,0,2.0847,0.75269,0.36367
Bacteroides_caccae_ATCC_43185_ac,0,0,1.7266,0,0
Bacteroides_caccae_ATCC_43185_gal,0,0,1.7266,0,0
Bacteroides_caccae_ATCC_43185_mantr,0,0,0.86328,0,0
Bacteroides_caccae_ATCC_43185_melib,0,0,1.7266,0,0
Bacteroides_coprocola_M16_DSM_17136_ac,0,0,0.75772,0,0
Bacteroides_coprocola_M16_DSM_17136_mantr,0,0,0.26113,0,0
Bacteroides_coprophilus_DSM_18228_ac,0,0,2.0346,1.0144,0
Bacteroides_coprophilus_DSM_18228_mantr,0,0,1.0173,0.50718,0
Bacteroides_intestinalis_341_DSM_17393_ac,0,0,2.8368,0,0
Bacteroides_intestinalis_341_DSM_17393_gal,0,0,2.8368,0,0
Bacteroides_intestinalis_341_DSM_17393_mantr,0,0,1.4184,0,0
Bacteroides_massiliensis_B846dnLKV334_ac,0,0,0.6694,0,0
Bacteroides_plebeius_M12_DSM_17135_ac,0,0,2.8804,0,0
Bacteroides_plebeius_M12_DSM_17135_mantr,0,0,1.4402,0,0
Bacteroides_sp_3_1_33FAA_ac,0,0,0.40744,0,0
Bacteroides_sp_3_1_33FAA_mantr,0,0,0.20372,0,0
Bacteroides_sp_3_1_40A_ac,0,0,1.1416,0,0
Bacteroides_sp_4_1_36_ac,0,0,1.8093,0,0
Bacteroides_sp_4_1_36_mantr,0,0,0.90464,0,0
Bacteroides_sp_4_3_47FAA_ac,0,0,1.0022,0,0
Bacteroides_sp_D20_ac,0,0,1.8319,0,0
Bacteroides_sp_D20_mantr,0,0,0.91596,0,0
Bacteroides_stercoris_ATCC_43183_ac,0,0,0.88664,0,0
Bacteroides_stercoris_ATCC_43183_mantr,0,0,0.44332,0,0
Bacteroides_uniformis_ATCC_8492_ac,0,0,1.6287,0,0
Bacteroides_uniformis_ATCC_8492_gal,0,0,1.6287,0,0
Bacteroides_uniformis_ATCC_8492_mantr,0,0,1.6287,0,0
